strategy,symbol,risk_pct,trades,annual_return_pct,max_dd_pct,winrate_pct,profit_factor,sharpe,years,final_balance,long_pct,short_pct,trades_per_month,best_month,best_month_pnl,worst_month,worst_month_pnl
bb_mean_reversion,ZECUSDT,1.0,3279,-98.17,100.0,28.33,0.6763,-5.308,3.0,0.6,49.9,50.1,90.98,2023-05,3542.48,2023-07,-18930.87
volatility_breakout,ZECUSDT,0.25,296,-5.47,17.93,25.0,0.7232,-1.449,3.0,84460.59,49.7,50.3,8.21,2026-01,2331.41,2025-01,-1985.04
volatility_breakout,ZECUSDT,0.5,296,-10.77,32.89,25.0,0.7194,-1.448,3.0,71027.73,49.7,50.3,8.21,2026-01,3860.82,2025-01,-3697.53
volatility_breakout,ZECUSDT,0.75,296,-15.89,45.31,25.0,0.7157,-1.448,3.0,59474.53,49.7,50.3,8.21,2026-01,4777.98,2025-01,-5153.35
volatility_breakout,ZECUSDT,1.0,296,-20.83,55.6,25.0,0.7119,-1.448,3.0,49587.52,49.7,50.3,8.21,2023-10,5902.64,2025-01,-6369.32
regime_switch_hybrid,ZROUSDT,0.25,112,8.84,3.15,37.5,1.532,1.837,1.3,111618.28,44.6,55.4,7.19,2025-12,4539.08,2026-02,-1544.62
regime_switch_hybrid,ZROUSDT,0.5,112,18.2,6.22,37.5,1.5099,1.836,1.3,124228.31,44.6,55.4,7.19,2025-12,9923.46,2026-02,-3454.54
regime_switch_hybrid,ZROUSDT,0.75,112,28.09,9.21,37.5,1.4891,1.836,1.3,137869.76,44.6,55.4,7.19,2025-12,16237.64,2026-02,-5780.0
regime_switch_hybrid,ZROUSDT,1.0,112,38.5,12.12,37.5,1.4693,1.836,1.3,152578.6,44.6,55.4,7.19,2025-12,23569.01,2026-02,-8575.01
momentum_breakout,ZROUSDT,0.25,40,1.36,3.06,35.0,1.2577,0.395,1.3,101770.86,50.0,50.0,2.57,2025-01,1682.42,2025-12,-1610.08
momentum_breakout,ZROUSDT,0.5,40,2.69,6.04,35.0,1.2503,0.396,1.3,103501.56,50.0,50.0,2.57,2025-01,3375.58,2025-12,-3281.81
momentum_breakout,ZROUSDT,0.75,40,3.98,8.96,35.0,1.243,0.396,1.3,105189.56,50.0,50.0,2.57,2025-01,5079.25,2025-12,-5014.97
momentum_breakout,ZROUSDT,1.0,40,5.23,11.8,35.0,1.2359,0.397,1.3,106832.38,50.0,50.0,2.57,2025-01,6793.2,2025-12,-6809.26
ema_crossover,ZROUSDT,0.25,102,0.55,3.47,31.37,1.0686,-0.066,1.3,100711.27,50.0,50.0,6.55,2026-01,2155.05,2025-09,-1255.34
ema_crossover,ZROUSDT,0.5,102,1.01,6.86,31.37,1.0642,-0.066,1.3,101315.56,50.0,50.0,6.55,2026-01,4205.01,2025-09,-2472.26
ema_crossover,ZROUSDT,0.75,102,1.39,10.17,31.37,1.0596,-0.066,1.3,101812.66,50.0,50.0,6.55,2026-01,6150.18,2025-09,-3650.24
ema_crossover,ZROUSDT,1.0,102,1.69,13.4,31.37,1.0549,-0.066,1.3,102202.69,50.0,50.0,6.55,2026-01,7991.13,2025-09,-4788.85
bb_mean_reversion,ZROUSDT,0.25,1359,-71.55,80.42,28.55,0.5628,-6.591,1.3,19577.92,49.7,50.3,87.3,2026-04,-1718.77,2025-02,-14320.37
bb_mean_reversion,ZROUSDT,0.5,1359,-89.31,94.58,28.55,0.5875,-6.011,1.3,5499.79,49.7,50.3,87.3,2026-04,-867.69,2025-02,-23215.42
bb_mean_reversion,ZROUSDT,0.75,1359,-95.44,98.23,28.55,0.6011,-5.556,1.3,1821.97,49.7,50.3,87.3,2026-04,-393.74,2025-02,-29333.29
bb_mean_reversion,ZROUSDT,1.0,1359,-97.79,99.32,28.55,0.6108,-5.15,1.3,710.26,49.7,50.3,87.3,2026-04,-186.47,2025-02,-33595.21
volatility_breakout,ZROUSDT,0.25,127,1.05,2.9,32.28,1.0577,0.28,1.3,101361.9,42.5,57.5,8.16,2026-02,2006.39,2025-07,-1668.57
volatility_breakout,ZROUSDT,0.5,127,1.94,5.78,32.28,1.0528,0.279,1.3,102525.99,42.5,57.5,8.16,2026-02,4049.24,2025-07,-3397.77
volatility_breakout,ZROUSDT,0.75,127,2.68,8.64,32.28,1.048,0.279,1.3,103486.52,42.5,57.5,8.16,2026-02,6118.22,2025-07,-5184.78
