label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr24,1000PEPE+ADA+APT+DOGE,0.5,2,93.0,7.08,1.729,4.0,48.6,401,76.9,7.24,1.638
rr24,1000PEPE+ADA+APT+DOGE,0.5,3,114.0,7.1,1.739,4.03,48.8,457,83.8,7.16,1.621
rr24,1000PEPE+ADA+APT+ETH,0.5,2,87.2,6.14,1.707,3.85,48.1,397,78.6,6.56,1.667
rr24,1000PEPE+ADA+APT+ETH,0.6,2,111.4,7.33,1.703,3.85,48.1,397,100.0,7.82,1.660
rr24,1000PEPE+ADA+APT+TON,0.5,2,93.2,6.4,1.693,4.03,48.1,420,79.9,7.45,1.623
rr24,1000PEPE+ADA+BCH+DOGE,0.5,2,99.4,6.32,1.807,4.38,49.8,396,81.0,7.86,1.708
rr24,1000PEPE+ADA+BCH+DOGE,0.5,3,102.6,6.73,1.704,4.0,48.5,445,87.8,7.67,1.694
rr24,1000PEPE+ADA+BCH+DOGE,0.5,4,106.6,6.66,1.709,4.02,48.7,452,89.1,7.67,1.696
rr24,1000PEPE+ADA+BNB+ETH,0.5,2,90.0,6.52,1.670,3.95,49.2,415,61.3,7.62,1.550
rr24,1000PEPE+ADA+BNB+XRP,0.5,2,76.0,6.84,1.541,3.44,47.3,425,61.1,7.61,1.552
rr24,1000PEPE+ADA+DOGE+ETH,0.5,2,86.6,6.61,1.696,3.92,48.8,387,68.9,6.62,1.629
rr24,1000PEPE+ADA+DOGE+ETH,0.6,2,110.6,7.89,1.685,3.92,48.8,387,87.0,7.93,1.622
rr24,1000PEPE+ADA+DOGE+ETH,0.5,3,104.0,7.13,1.710,3.94,48.8,439,73.0,7.64,1.614
rr24,1000PEPE+ADA+DOGE+ETH,0.5,4,103.7,7.13,1.682,3.73,48.2,456,74.2,7.64,1.611
rr24,1000PEPE+ADA+DOGE+LTC,0.5,4,128.2,7.99,1.729,4.4,49.5,485,69.0,7.88,1.514
rr24,1000PEPE+ADA+DOGE+XRP,0.5,2,80.8,7.25,1.610,3.64,47.4,401,67.5,7.14,1.610
rr24,1000PEPE+ADA+ETH+LTC,0.5,3,118.0,6.87,1.751,4.44,49.7,455,74.5,7.3,1.573
rr24,1000PEPE+ADA+ETH+LTC,0.5,4,117.1,6.94,1.728,4.29,49.2,467,72.8,7.95,1.549
rr24,1000PEPE+ADA+ETH+TON,0.5,2,89.8,5.89,1.698,4.06,48.4,409,72.9,7.07,1.638
rr24,1000PEPE+APT+BCH+DOGE,0.5,2,115.8,6.17,1.898,4.61,51.0,412,86.7,7.4,1.741
rr24,1000PEPE+APT+BCH+DOGE,0.5,3,128.7,6.17,1.875,4.53,50.7,448,85.2,6.7,1.685
rr24,1000PEPE+APT+BCH+DOGE,0.5,4,127.4,6.45,1.845,4.42,50.3,455,84.9,6.7,1.677
rr24,1000PEPE+APT+BCH+TON,0.5,2,112.9,6.39,1.842,4.75,50.5,416,87.3,6.38,1.729
rr24,1000PEPE+APT+BCH+TON,0.6,2,146.8,7.63,1.838,4.75,50.5,416,111.7,7.61,1.717
rr24,1000PEPE+APT+BCH+TON,0.5,3,120.3,6.6,1.810,4.5,50.0,452,87.1,7.13,1.695
rr24,1000PEPE+APT+BCH+TON,0.5,4,126.3,6.6,1.840,4.57,50.3,457,88.8,7.86,1.697
rr24,1000PEPE+APT+BCH+WLD,0.5,2,112.0,6.53,1.856,4.57,49.9,421,78.3,6.83,1.658
rr24,1000PEPE+APT+BNB+DOGE,0.5,2,105.9,6.89,1.751,4.15,50.2,430,60.6,7.3,1.546
rr24,1000PEPE+APT+BNB+DOGE,0.5,3,125.9,6.47,1.762,4.22,50.5,475,63.8,7.16,1.523
rr24,1000PEPE+APT+BNB+DOGE,0.5,4,133.1,6.47,1.782,4.23,50.7,483,61.8,7.38,1.507
rr24,1000PEPE+APT+BNB+ETH,0.5,2,102.5,5.0,1.761,4.1,50.2,420,63.8,7.66,1.568
rr24,1000PEPE+APT+BNB+TON,0.5,2,103.8,6.0,1.710,4.28,49.8,440,61.6,7.77,1.535
rr24,1000PEPE+APT+DOGE+ETH,0.5,2,100.5,6.69,1.802,4.26,49.9,399,73.0,7.32,1.665
rr24,1000PEPE+APT+DOGE+HBAR,0.5,2,93.2,7.57,1.675,4.04,48.3,412,74.2,6.83,1.564
rr24,1000PEPE+APT+DOGE+TON,0.5,2,119.5,6.0,1.854,4.81,50.7,424,68.4,7.25,1.606
rr24,1000PEPE+APT+DOGE+WLD,0.5,2,104.9,6.96,1.775,4.25,49.1,424,58.4,7.84,1.507
rr24,1000PEPE+APT+DOGE+XRP,0.5,2,106.2,6.03,1.784,4.33,49.8,416,67.5,6.55,1.623
rr24,1000PEPE+APT+DOGE+XRP,0.6,2,137.5,7.2,1.773,4.33,49.8,416,85.1,7.82,1.617
rr24,1000PEPE+APT+DOGE+XRP,0.5,3,115.7,6.66,1.741,4.11,49.1,458,68.2,6.02,1.575
rr24,1000PEPE+APT+DOGE+XRP,0.6,3,150.4,7.94,1.730,4.11,49.1,458,86.0,7.19,1.567
rr24,1000PEPE+APT+DOGE+XRP,0.5,4,113.7,7.13,1.718,3.96,48.7,466,68.2,6.6,1.569
rr24,1000PEPE+APT+ETH+HBAR,0.5,2,85.6,7.04,1.660,3.88,47.8,404,73.6,6.22,1.588
rr24,1000PEPE+APT+ETH+HBAR,0.5,3,92.9,7.54,1.655,3.79,47.6,437,76.8,7.51,1.555
rr24,1000PEPE+APT+ETH+HBAR,0.5,4,93.6,7.54,1.637,3.71,47.4,447,76.1,7.51,1.543
rr24,1000PEPE+APT+ETH+TON,0.5,2,114.5,4.98,1.854,4.71,50.5,418,76.7,6.77,1.687
rr24,1000PEPE+APT+ETH+TON,0.5,3,120.8,6.01,1.822,4.49,50.0,450,74.1,6.96,1.618
rr24,1000PEPE+APT+ETH+TON,0.5,4,123.4,6.01,1.815,4.44,49.9,461,74.0,7.48,1.612
rr24,1000PEPE+APT+ETH+WLD,0.5,2,95.6,6.84,1.752,4.13,48.3,416,64.5,7.94,1.583
rr24,1000PEPE+APT+ETH+XRP,0.5,2,100.7,5.03,1.800,4.23,49.6,403,72.9,7.31,1.676
rr24,1000PEPE+APT+TON+WLD,0.5,2,107.7,6.47,1.764,4.5,48.9,438,60.9,7.8,1.526
rr24,1000PEPE+BCH+BNB+DOGE,0.5,2,103.7,6.15,1.768,4.35,50.7,422,59.3,7.52,1.567
rr24,1000PEPE+BCH+BNB+DOGE,0.5,3,122.2,6.15,1.788,4.44,51.1,456,66.0,7.12,1.584
rr24,1000PEPE+BCH+BNB+DOGE,0.5,4,124.4,6.15,1.783,4.37,51.1,462,68.4,7.12,1.593
