pairs,n_pairs,annual_return_pct,max_dd_pct,profit_factor,sharpe,winrate_pct,trades,signals_skipped,avg_corr,final_balance,long_pct,short_pct,best_month,best_month_pnl,worst_month,worst_month_pnl
ONDOUSDT+ZECUSDT+DOGEUSDT+SUIUSDT,4,159.61,9.82,1.6924,3.551,40.81,794,79,0.4959,1726313.34,47.1,52.9,2026-01,262126.57,2023-11,-2272.01
ONDOUSDT+ZECUSDT+DOGEUSDT+ADAUSDT,4,166.57,10.33,1.6642,3.638,41.37,788,89,0.5237,1867862.54,44.7,55.3,2026-01,297152.58,2026-04,-15423.57
ONDOUSDT+ZECUSDT+1000PEPEUSDT+SUIUSDT,4,163.61,10.34,1.6837,3.581,40.42,804,68,0.4628,1811508.55,47.3,52.7,2026-01,204041.64,2026-03,-32171.9
ONDOUSDT+ZECUSDT+1000PEPEUSDT+ADAUSDT,4,185.27,11.67,1.6866,3.772,41.74,793,83,0.4802,2293693.27,46.0,54.0,2025-12,330452.67,2025-04,-75262.48
ONDOUSDT+ZECUSDT+SUIUSDT+ADAUSDT,4,163.73,11.11,1.6505,3.592,40.49,815,81,0.4926,1809274.52,45.2,54.8,2026-01,262507.26,2025-04,-35626.3
ONDOUSDT+DOGEUSDT+1000PEPEUSDT+SUIUSDT,4,143.96,13.09,1.7217,3.355,40.28,772,88,0.5975,1437055.97,45.6,54.4,2026-01,189702.23,2024-10,-9611.7
ONDOUSDT+DOGEUSDT+1000PEPEUSDT+ADAUSDT,4,159.36,12.06,1.7266,3.487,41.45,760,104,0.6288,1725593.3,43.9,56.1,2026-01,269905.11,2024-10,-13997.0
ONDOUSDT+DOGEUSDT+SUIUSDT+ADAUSDT,4,145.25,12.88,1.6867,3.368,40.3,789,95,0.616,1456416.71,44.2,55.8,2026-01,258451.17,2026-05,-51882.03
ONDOUSDT+1000PEPEUSDT+SUIUSDT+ADAUSDT,4,141.21,14.35,1.6446,3.248,39.57,796,87,0.5698,1389244.53,44.5,55.5,2026-01,200060.59,2025-04,-34524.05
ETHUSDT+BCHUSDT+TONUSDT+XLMUSDT,4,188.11,12.39,2.0121,3.869,43.76,793,56,0.4612,2342073.41,43.5,56.5,2026-03,347979.48,2025-06,-19583.65
ETHUSDT+BCHUSDT+TONUSDT+ZECUSDT,4,203.89,15.69,1.8719,4.264,43.85,780,48,0.4269,2745499.75,45.0,55.0,2026-05,430712.11,2026-04,-62725.21
ETHUSDT+BCHUSDT+TONUSDT+DOGEUSDT,4,195.63,11.3,2.0972,4.133,44.56,745,71,0.5421,2529125.73,43.8,56.2,2026-02,366942.3,2025-06,-22592.55
ETHUSDT+BCHUSDT+TONUSDT+1000PEPEUSDT,4,193.73,9.9,1.9676,4.055,43.8,758,57,0.502,2484837.78,44.6,55.4,2026-05,421299.63,2025-06,-36405.81
ETHUSDT+BCHUSDT+TONUSDT+SUIUSDT,4,183.85,17.05,1.9843,3.929,43.0,779,56,0.4894,2240311.23,43.8,56.2,2026-02,292546.01,2025-06,-54723.31
ETHUSDT+BCHUSDT+TONUSDT+ADAUSDT,4,179.84,14.72,1.8747,3.853,43.11,777,62,0.5224,2147447.75,42.1,57.9,2026-01,291081.58,2025-06,-51869.57
ETHUSDT+BCHUSDT+XLMUSDT+ZECUSDT,4,190.28,12.04,1.8331,3.935,43.26,816,62,0.4346,2394164.84,46.0,54.0,2026-02,318090.11,2026-04,-79848.89
ETHUSDT+BCHUSDT+XLMUSDT+DOGEUSDT,4,170.72,10.93,1.9271,3.638,43.18,792,74,0.5444,1944877.09,44.6,55.4,2026-03,278588.16,2025-06,-19195.45
ETHUSDT+BCHUSDT+XLMUSDT+1000PEPEUSDT,4,175.02,10.43,1.8643,3.602,42.93,792,73,0.4971,2041257.82,45.5,54.5,2026-03,261922.1,2024-10,-22591.14
ETHUSDT+BCHUSDT+XLMUSDT+SUIUSDT,4,174.34,16.21,1.907,3.687,42.61,812,73,0.4832,2023230.9,44.5,55.5,2026-03,272774.02,2025-06,-43728.61
ETHUSDT+BCHUSDT+XLMUSDT+ADAUSDT,4,165.06,15.41,1.8075,3.529,42.54,804,85,0.5445,1826027.4,43.0,57.0,2026-03,326384.68,2026-04,-45891.62
ETHUSDT+BCHUSDT+ZECUSDT+DOGEUSDT,4,194.98,11.84,1.8129,4.122,43.53,781,64,0.5068,2511516.82,46.0,54.0,2026-02,374336.94,2026-04,-65973.7
ETHUSDT+BCHUSDT+ZECUSDT+1000PEPEUSDT,4,203.81,11.43,1.7632,4.052,43.53,781,63,0.4706,2746927.84,47.0,53.0,2026-02,386119.21,2026-04,-132741.65
ETHUSDT+BCHUSDT+ZECUSDT+SUIUSDT,4,194.24,15.25,1.792,4.066,42.84,803,61,0.4581,2492866.44,45.8,54.2,2026-02,329223.28,2025-06,-44179.02
ETHUSDT+BCHUSDT+ZECUSDT+ADAUSDT,4,191.92,17.86,1.7526,3.991,43.09,796,72,0.4898,2434723.97,44.5,55.5,2026-03,359196.44,2026-04,-165300.1
ETHUSDT+BCHUSDT+DOGEUSDT+1000PEPEUSDT,4,168.78,14.11,1.8665,3.696,42.9,753,79,0.6153,1906302.38,45.4,54.6,2026-02,259820.88,2025-06,-29429.24
ETHUSDT+BCHUSDT+DOGEUSDT+SUIUSDT,4,162.82,14.76,1.8479,3.731,42.21,777,75,0.5776,1780527.21,45.2,54.8,2026-01,214649.23,2025-06,-30974.44
ETHUSDT+BCHUSDT+DOGEUSDT+ADAUSDT,4,164.98,12.44,1.7967,3.697,42.76,767,89,0.6233,1824394.84,43.5,56.5,2026-03,274325.72,2025-06,-35963.32
ETHUSDT+BCHUSDT+1000PEPEUSDT+SUIUSDT,4,179.39,14.64,1.8386,3.772,42.37,786,65,0.5386,2139534.18,45.0,55.0,2026-02,264247.68,2025-06,-43738.34
ETHUSDT+BCHUSDT+1000PEPEUSDT+ADAUSDT,4,167.42,13.82,1.7578,3.607,42.36,772,83,0.5739,1877641.16,44.4,55.6,2026-02,220073.09,2025-06,-58181.87
