pairs,n_pairs,annual_return_pct,max_dd_pct,profit_factor,sharpe,winrate_pct,trades,signals_skipped,avg_corr,final_balance,long_pct,short_pct,best_month,best_month_pnl,worst_month,worst_month_pnl
BCHUSDT+ZECUSDT+1000PEPEUSDT+ADAUSDT,4,191.58,14.97,1.6537,3.811,42.18,818,80,0.4391,2430081.72,46.2,53.8,2026-02,267143.19,2026-04,-154127.68
BCHUSDT+ZECUSDT+SUIUSDT+ADAUSDT,4,182.67,17.86,1.6451,3.819,41.34,849,69,0.437,2212034.99,44.6,55.4,2026-01,262018.59,2026-04,-56535.1
BCHUSDT+DOGEUSDT+1000PEPEUSDT+SUIUSDT,4,164.3,14.83,1.7606,3.585,41.4,802,80,0.5392,1813080.61,45.3,54.7,2026-01,203109.93,2024-10,-19030.44
BCHUSDT+DOGEUSDT+1000PEPEUSDT+ADAUSDT,4,176.45,10.56,1.768,3.689,42.44,787,99,0.5804,2073083.92,44.3,55.7,2026-01,269747.18,2024-10,-24566.83
BCHUSDT+DOGEUSDT+SUIUSDT+ADAUSDT,4,168.93,14.23,1.7481,3.735,41.43,823,83,0.5532,1906684.79,44.0,56.0,2026-01,268300.93,2025-06,-34613.25
BCHUSDT+1000PEPEUSDT+SUIUSDT+ADAUSDT,4,164.07,16.83,1.6932,3.48,40.9,824,81,0.5032,1808369.12,44.4,55.6,2026-01,204496.04,2025-06,-53028.02
TONUSDT+XLMUSDT+ZECUSDT+DOGEUSDT,4,191.18,9.64,1.7329,3.84,42.86,833,75,0.4199,2417238.04,43.9,56.1,2026-01,381161.96,2026-03,-24255.95
TONUSDT+XLMUSDT+ZECUSDT+1000PEPEUSDT,4,181.27,11.2,1.6722,3.699,41.95,839,68,0.3754,2183495.86,44.7,55.3,2026-01,305122.52,2026-03,-53364.23
TONUSDT+XLMUSDT+ZECUSDT+SUIUSDT,4,176.29,11.1,1.7243,3.66,41.63,848,79,0.3827,2067124.77,44.0,56.0,2026-01,309891.71,2025-07,-36762.35
TONUSDT+XLMUSDT+ZECUSDT+ADAUSDT,4,173.73,11.35,1.6235,3.602,41.66,857,74,0.433,2010588.71,42.7,57.3,2026-01,329918.63,2024-10,-21012.93
TONUSDT+XLMUSDT+DOGEUSDT+1000PEPEUSDT,4,164.43,14.79,1.7383,3.521,42.01,814,81,0.4911,1816436.3,43.1,56.9,2026-01,289067.94,2024-10,-15692.88
TONUSDT+XLMUSDT+DOGEUSDT+SUIUSDT,4,162.75,12.01,1.7688,3.57,41.59,832,83,0.4733,1779651.73,43.5,56.5,2026-01,303449.85,2024-10,-10184.02
TONUSDT+XLMUSDT+DOGEUSDT+ADAUSDT,4,158.71,14.91,1.7057,3.403,41.63,836,83,0.5375,1699421.74,41.1,58.9,2026-01,317625.15,2025-06,-24234.49
TONUSDT+XLMUSDT+1000PEPEUSDT+SUIUSDT,4,151.43,17.45,1.7168,3.328,40.54,846,68,0.4261,1562932.41,43.5,56.5,2026-01,246965.82,2024-10,-33540.03
TONUSDT+XLMUSDT+1000PEPEUSDT+ADAUSDT,4,154.52,15.27,1.6459,3.369,41.02,841,77,0.4798,1620962.78,42.1,57.9,2026-01,291349.13,2025-06,-34643.52
TONUSDT+XLMUSDT+SUIUSDT+ADAUSDT,4,144.45,17.68,1.6596,3.337,40.35,855,83,0.4872,1435145.07,41.5,58.5,2026-01,226354.81,2025-06,-55766.46
TONUSDT+ZECUSDT+DOGEUSDT+1000PEPEUSDT,4,184.17,10.02,1.6693,3.9,42.22,803,71,0.4507,2251485.59,44.7,55.3,2026-01,309043.47,2026-03,-101387.4
TONUSDT+ZECUSDT+DOGEUSDT+SUIUSDT,4,186.6,11.3,1.702,3.948,41.97,822,72,0.4342,2302787.1,45.0,55.0,2026-01,318995.07,2026-03,-38328.59
TONUSDT+ZECUSDT+DOGEUSDT+ADAUSDT,4,184.1,12.32,1.6438,3.844,42.01,826,72,0.4689,2243387.7,42.9,57.1,2026-01,335633.01,2024-06,-10866.94
TONUSDT+ZECUSDT+1000PEPEUSDT+SUIUSDT,4,171.36,9.45,1.6608,3.695,40.92,826,67,0.3982,1962072.54,44.9,55.1,2026-01,228991.12,2026-03,-72926.57
TONUSDT+ZECUSDT+1000PEPEUSDT+ADAUSDT,4,188.55,11.31,1.5918,3.857,41.84,827,70,0.4224,2356342.31,43.8,56.2,2026-01,306878.71,2026-03,-44101.28
TONUSDT+ZECUSDT+SUIUSDT+ADAUSDT,4,186.47,11.61,1.6586,3.866,41.49,846,71,0.4311,2299804.31,43.0,57.0,2026-01,296511.71,2024-10,-18476.99
TONUSDT+DOGEUSDT+1000PEPEUSDT+SUIUSDT,4,172.21,13.9,1.7865,3.748,41.75,800,81,0.5236,1980573.34,43.5,56.5,2026-01,285039.68,2024-10,-14108.24
TONUSDT+DOGEUSDT+1000PEPEUSDT+ADAUSDT,4,171.17,15.17,1.7152,3.682,41.9,802,83,0.5617,1957929.98,42.1,57.9,2026-01,304951.09,2024-07,-23443.96
TONUSDT+DOGEUSDT+SUIUSDT+ADAUSDT,4,178.47,12.34,1.7597,3.787,41.82,825,80,0.5454,2113805.47,42.2,57.8,2026-01,325461.01,2024-07,-15074.31
TONUSDT+1000PEPEUSDT+SUIUSDT+ADAUSDT,4,165.56,16.13,1.6866,3.586,40.77,834,70,0.496,1839621.0,42.3,57.7,2026-01,253090.88,2024-10,-37115.53
XLMUSDT+ZECUSDT+DOGEUSDT+1000PEPEUSDT,4,187.09,10.48,1.6519,3.756,42.48,831,93,0.4638,2315293.36,45.4,54.6,2025-12,267090.21,2026-03,-52720.13
XLMUSDT+ZECUSDT+DOGEUSDT+SUIUSDT,4,164.57,11.12,1.6154,3.598,41.25,851,93,0.446,1802431.89,45.2,54.8,2026-01,248471.05,2026-05,-52835.2
XLMUSDT+ZECUSDT+DOGEUSDT+ADAUSDT,4,171.27,11.4,1.5971,3.557,41.7,849,99,0.509,1945499.5,43.7,56.3,2025-12,335158.37,2026-05,-63364.28
XLMUSDT+ZECUSDT+1000PEPEUSDT+SUIUSDT,4,172.13,12.05,1.6444,3.511,41.09,859,84,0.4027,1973933.3,45.8,54.2,2026-01,230157.43,2026-03,-70486.44
XLMUSDT+ZECUSDT+1000PEPEUSDT+ADAUSDT,4,169.49,12.07,1.5686,3.45,41.31,852,95,0.4552,1917578.99,44.4,55.6,2025-12,271523.57,2025-04,-56435.42
XLMUSDT+ZECUSDT+SUIUSDT+ADAUSDT,4,155.75,13.26,1.5417,3.375,40.46,870,97,0.4627,1632794.83,43.9,56.1,2026-01,184765.76,2026-05,-63165.73
XLMUSDT+DOGEUSDT+1000PEPEUSDT+SUIUSDT,4,150.33,15.74,1.6398,3.261,40.74,842,89,0.5228,1539231.93,44.4,55.6,2026-04,238100.65,2026-05,-46707.56
XLMUSDT+DOGEUSDT+1000PEPEUSDT+ADAUSDT,4,144.38,11.84,1.6017,3.153,40.79,831,104,0.5893,1432734.78,43.0,57.0,2025-12,199444.39,2026-05,-49012.04
XLMUSDT+DOGEUSDT+SUIUSDT+ADAUSDT,4,140.31,13.86,1.5831,3.191,40.28,854,101,0.5716,1356666.58,42.6,57.4,2026-04,200621.63,2026-05,-118229.11
XLMUSDT+1000PEPEUSDT+SUIUSDT+ADAUSDT,4,142.73,17.84,1.5847,3.106,40.0,860,94,0.5151,1404085.54,42.7,57.3,2026-01,180480.97,2024-10,-43955.43
ZECUSDT+DOGEUSDT+1000PEPEUSDT+SUIUSDT,4,155.55,13.01,1.5527,3.463,40.39,822,88,0.4916,1636774.68,46.1,53.9,2026-01,173472.36,2026-03,-61909.32
ZECUSDT+DOGEUSDT+1000PEPEUSDT+ADAUSDT,4,164.65,11.75,1.5288,3.531,41.08,818,96,0.5285,1816790.54,44.6,55.4,2025-12,234594.34,2026-05,-30820.2
ZECUSDT+DOGEUSDT+SUIUSDT+ADAUSDT,4,169.22,13.53,1.5675,3.592,40.93,843,91,0.5122,1900014.06,44.2,55.8,2026-01,218285.36,2026-05,-66976.79
ZECUSDT+1000PEPEUSDT+SUIUSDT+ADAUSDT,4,167.51,13.76,1.5385,3.505,40.45,848,85,0.4668,1875832.59,44.8,55.2,2026-01,171894.26,2025-04,-68528.38
DOGEUSDT+1000PEPEUSDT+SUIUSDT+ADAUSDT,4,139.26,14.25,1.5437,3.131,39.81,824,97,0.6105,1345176.45,43.3,56.7,2026-01,178702.57,2026-05,-35532.85
