label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr18f,1000PEPE+APT+SNX+BNB,0.5,2,91.1,5.39,1.756,4.3,56.8,449,67.2,6.99,1.601
rr18f,1000PEPE+APT+SNX+BNB,0.5,3,97.5,6.17,1.738,4.22,56.6,479,72.2,6.99,1.601
rr18f,1000PEPE+APT+SNX+BNB,0.5,4,103.5,5.4,1.765,4.33,57.0,486,71.0,6.99,1.588
rr18f,1000PEPE+APT+SNX+TON,0.5,2,98.7,4.97,1.834,4.74,56.7,441,72.8,5.43,1.619
rr18f,1000PEPE+APT+SNX+TON,0.6,2,127.4,5.94,1.830,4.74,56.7,441,92.3,6.48,1.603
rr18f,1000PEPE+APT+SNX+TON,0.7,2,159.9,6.9,1.827,4.74,56.7,441,113.9,7.52,1.586
rr18f,1000PEPE+APT+SNX+TON,0.5,3,106.9,6.24,1.815,4.58,56.5,476,75.2,5.43,1.617
rr18f,1000PEPE+APT+SNX+TON,0.6,3,138.5,7.45,1.812,4.58,56.5,476,95.5,6.48,1.602
rr18f,1000PEPE+APT+SNX+TON,0.5,4,107.7,6.24,1.810,4.52,56.4,482,74.2,5.43,1.601
rr18f,1000PEPE+APT+SNX+TON,0.6,4,139.6,7.45,1.807,4.51,56.4,482,94.1,6.48,1.587
rr18f,1000PEPE+APT+SNX+BCH,0.5,2,85.1,6.15,1.732,4.25,55.7,429,85.4,6.05,1.729
rr18f,1000PEPE+APT+SNX+BCH,0.6,2,108.8,7.34,1.723,4.25,55.7,429,109.3,7.23,1.712
rr18f,1000PEPE+APT+SNX+BCH,0.5,3,92.8,6.69,1.744,4.29,56.0,452,91.8,6.58,1.742
rr18f,1000PEPE+APT+SNX+BCH,0.6,3,119.2,7.99,1.735,4.29,56.0,452,117.9,7.86,1.730
rr18f,1000PEPE+APT+SNX+BCH,0.5,4,90.6,6.69,1.715,4.19,55.6,457,94.5,6.58,1.755
rr18f,1000PEPE+APT+SNX+BCH,0.6,4,116.2,7.99,1.707,4.19,55.6,457,121.5,7.86,1.744
rr18f,1000PEPE+APT+SNX+LTC,0.5,2,101.5,5.82,1.843,4.96,57.0,442,82.4,6.67,1.694
