label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr18nt5,1000PEPE+APT+SNX+BNB+VET,0.55,2,131.9,7.14,1.742,4.59,56.3,551,96.3,7.51,1.590
rr18nt5,1000PEPE+APT+SNX+BNB+VET,0.55,4,173.8,7.92,1.787,4.78,57.0,632,104.9,7.61,1.558
rr18nt5,1000PEPE+APT+SNX+BNB+ADA,0.55,2,138.2,5.96,1.779,4.74,57.1,532,98.3,5.08,1.584
rr18nt5,1000PEPE+APT+SNX+BNB+ADA,0.6,2,157.3,6.49,1.775,4.74,57.1,532,110.8,5.54,1.579
rr18nt5,1000PEPE+APT+SNX+BNB+ADA,0.65,2,177.8,7.01,1.772,4.74,57.1,532,123.9,5.99,1.574
rr18nt5,1000PEPE+APT+SNX+BNB+ADA,0.7,2,200.0,7.54,1.768,4.74,57.1,532,137.9,6.45,1.569
rr18nt5,1000PEPE+APT+SNX+BNB+ADA,0.55,3,155.6,7.11,1.753,4.62,56.8,592,121.7,5.73,1.642
rr18nt5,1000PEPE+APT+SNX+BNB+ADA,0.6,3,177.8,7.74,1.750,4.62,56.8,592,137.9,6.25,1.637
rr18nt5,1000PEPE+APT+SNX+BNB+ADA,0.55,4,167.6,7.25,1.770,4.67,57.1,608,122.5,5.73,1.633
rr18nt5,1000PEPE+APT+SNX+BNB+ADA,0.6,4,192.0,7.89,1.766,4.66,57.1,608,138.8,6.25,1.628
rr18nt5,1000PEPE+APT+SNX+BCH+LTC,0.55,2,147.3,6.83,1.823,5.26,57.3,525,123.9,7.18,1.723
rr18nt5,1000PEPE+APT+SNX+BCH+LTC,0.6,2,168.1,7.44,1.818,5.25,57.3,525,140.6,7.81,1.715
rr18nt5,1000PEPE+APT+SNX+BCH+ETH,0.55,2,129.6,7.53,1.784,4.88,56.8,504,115.1,6.87,1.721
rr18nt5,1000PEPE+APT+SNX+BCH+ADA,0.55,2,127.5,7.48,1.762,4.52,56.0,512,124.2,5.4,1.696
rr18nt5,1000PEPE+APT+SNX+BCH+ADA,0.55,3,148.3,7.79,1.744,4.54,56.2,568,151.7,6.04,1.761
rr18nt5,1000PEPE+APT+SNX+LTC+ADA,0.55,2,149.8,7.02,1.854,5.27,57.3,520,123.6,6.16,1.705
