label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
thr05nt5,1000PEPE+APT+BCH+LTC+DOGE,0.55,2,201.0,6.84,1.820,5.13,50.1,569,119.3,7.83,1.574
thr05nt5,1000PEPE+APT+BCH+ETH+DOGE,0.55,2,186.4,6.29,1.868,5.18,50.3,537,128.8,7.51,1.635
thr05nt5,1000PEPE+APT+BCH+DOGE+ADA,0.55,2,179.9,6.68,1.792,4.96,49.6,538,124.9,7.59,1.575
thr05nt5,1000PEPE+BCH+LTC+ETH+DOGE,0.55,2,174.5,6.86,1.775,4.95,49.6,550,120.5,7.23,1.611
thr05nt5,1000PEPE+BCH+LTC+ETH+DOGE,0.6,2,200.1,7.46,1.773,4.95,49.6,550,136.4,7.87,1.606
thr05nt5,1000PEPE+BCH+LTC+ETH+ADA,0.55,2,156.9,6.87,1.696,4.81,48.8,543,127.4,7.85,1.609
thr05nt5,1000PEPE+BCH+LTC+DOGE+VET,0.55,2,217.2,7.99,1.885,5.51,50.6,577,111.9,7.05,1.551
thr05nt5,1000PEPE+BCH+ETH+DOGE+ADA,0.55,2,146.4,6.16,1.729,4.54,48.7,513,127.0,7.82,1.607
thr05nt5,SNX+LTC+ETH+DOGE+ADA,0.55,2,188.6,7.25,1.737,5.05,50.2,554,102.8,7.83,1.464
