label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr20f,1000PEPE+APT+SNX+BNB,0.5,2,110.1,5.57,1.847,4.7,55.5,445,68.0,6.9,1.572
rr20f,1000PEPE+APT+SNX+BNB,0.5,3,119.2,5.76,1.838,4.61,55.4,475,73.6,7.34,1.576
rr20f,1000PEPE+APT+SNX+BNB,0.5,4,126.7,5.57,1.868,4.72,55.8,482,72.5,7.34,1.565
rr20f,1000PEPE+APT+SNX+TON,0.5,2,120.8,5.35,1.951,5.21,55.7,438,73.0,5.55,1.599
rr20f,1000PEPE+APT+SNX+TON,0.6,2,158.0,6.39,1.947,5.21,55.7,438,92.6,6.63,1.585
rr20f,1000PEPE+APT+SNX+TON,0.7,2,201.1,7.42,1.943,5.2,55.7,438,114.1,7.7,1.571
rr20f,1000PEPE+APT+SNX+TON,0.5,3,131.7,6.84,1.930,5.02,55.5,474,75.7,6.25,1.596
rr20f,1000PEPE+APT+SNX+TON,0.5,4,133.1,6.84,1.926,4.96,55.4,480,74.8,6.25,1.582
rr20f,1000PEPE+APT+SNX+BCH,0.5,2,99.4,6.85,1.818,4.57,54.1,425,90.8,5.91,1.723
rr20f,1000PEPE+APT+SNX+BCH,0.5,3,109.6,7.39,1.840,4.61,54.5,448,92.6,7.08,1.709
rr20f,1000PEPE+APT+SNX+BCH,0.5,4,107.3,7.39,1.811,4.52,54.1,453,93.4,7.08,1.707
rr20f,1000PEPE+APT+SNX+LTC,0.5,2,119.6,5.9,1.925,5.28,55.6,439,77.6,7.0,1.638
rr20f,1000PEPE+APT+SNX+ETH,0.5,2,96.4,7.59,1.845,4.62,54.2,413,72.5,7.17,1.637
rr20f,1000PEPE+APT+SNX+ETH,0.5,3,109.3,7.59,1.851,4.53,54.2,452,81.3,6.79,1.669
rr20f,1000PEPE+APT+SNX+ETH,0.5,4,113.0,7.59,1.860,4.53,54.4,458,78.9,7.4,1.641
rr20f,1000PEPE+APT+SNX+DOGE,0.5,2,105.6,7.5,1.845,4.63,54.6,425,73.8,6.56,1.632
rr20f,1000PEPE+APT+SNX+VET,0.5,2,106.0,7.24,1.825,4.54,53.8,450,83.3,5.94,1.654
rr20f,1000PEPE+APT+BNB+TON,0.5,2,124.0,5.04,1.917,5.07,56.8,458,50.5,6.78,1.494
rr20f,1000PEPE+APT+BNB+TON,0.5,3,141.7,5.11,1.940,5.08,57.0,493,51.5,7.73,1.475
rr20f,1000PEPE+APT+BNB+LTC,0.5,2,119.1,4.99,1.862,5.14,56.5,457,51.6,7.39,1.495
rr20f,1000PEPE+APT+BNB+LTC,0.5,3,137.3,4.99,1.885,5.24,56.6,496,57.6,7.39,1.516
rr20f,1000PEPE+APT+BNB+LTC,0.5,4,140.5,4.99,1.885,5.22,56.6,505,57.8,7.55,1.506
rr20f,1000PEPE+APT+BNB+ETH,0.5,2,101.3,4.61,1.833,4.57,55.4,433,55.0,7.95,1.563
rr20f,1000PEPE+APT+BNB+DOGE,0.5,2,109.0,6.03,1.840,4.61,55.9,444,53.7,7.85,1.550
rr20f,1000PEPE+APT+BNB+DOGE,0.5,3,123.9,5.97,1.833,4.58,55.8,486,55.0,7.31,1.516
rr20f,1000PEPE+APT+BNB+DOGE,0.5,4,129.8,5.97,1.848,4.58,55.9,494,53.2,7.38,1.498
rr20f,1000PEPE+APT+BNB+VET,0.5,2,105.2,5.91,1.789,4.57,54.6,469,52.3,7.92,1.497
rr20f,1000PEPE+APT+TON+BCH,0.5,2,118.5,6.04,1.926,5.07,56.1,437,69.5,7.15,1.648
rr20f,1000PEPE+APT+TON+BCH,0.5,3,123.6,6.04,1.899,4.82,55.6,466,66.8,7.81,1.598
rr20f,1000PEPE+APT+TON+BCH,0.5,4,124.6,6.04,1.896,4.84,55.5,470,69.5,7.81,1.617
rr20f,1000PEPE+APT+TON+LTC,0.5,3,142.3,4.49,1.930,5.48,56.2,493,61.5,7.75,1.549
rr20f,1000PEPE+APT+TON+LTC,0.5,4,147.7,5.01,1.943,5.53,56.3,503,59.9,7.75,1.526
rr20f,1000PEPE+APT+TON+ETH,0.5,2,114.5,5.17,1.935,5.0,55.7,433,62.8,6.2,1.657
