pairs,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf,is_trades,passes
APT+BTC+DOGE,84.7,8.62,1.51,3.07,340,56.9,12.81,1.49,336,no
APT+BTC+ENS,109.5,9.64,1.59,3.32,362,61.7,17.22,1.49,352,no
APT+BTC+ETH,94.4,7.88,1.64,3.19,321,57.2,14.53,1.51,324,no
APT+BTC+HBAR,58.3,11.92,1.38,2.38,327,64.1,19.92,1.48,373,no
APT+BTC+LTC,96.7,8.35,1.57,3.24,347,56.5,16.16,1.44,357,no
APT+BTC+SNX,96.3,8.66,1.61,3.35,331,74.9,19.57,1.51,373,no
APT+BTC+TON,94.4,8.73,1.60,3.33,335,61.1,12.71,1.53,324,no
APT+BTC+VET,70.4,8.49,1.45,2.72,358,59.6,23.35,1.49,356,no
APT+BTC+WLD,83.8,9.42,1.53,3.13,342,48.7,22.17,1.41,344,no
APT+BTC+XRP,83.4,8.0,1.52,3.11,331,48.6,16.83,1.44,324,no
APT+DOGE+ENS,151.8,12.24,1.79,3.84,377,83.3,10.92,1.64,353,no
APT+DOGE+ETH,134.1,7.55,1.88,3.88,336,78.3,9.9,1.67,325,no
APT+DOGE+HBAR,90.0,9.47,1.57,3.13,342,85.9,9.77,1.61,374,no
APT+DOGE+LTC,134.5,9.87,1.78,3.87,362,77.7,12.09,1.57,358,no
APT+DOGE+SNX,135.0,12.26,1.84,4.0,346,98.5,10.39,1.64,374,no
APT+DOGE+TON,132.2,7.26,1.82,4.12,350,82.8,8.9,1.68,325,no
APT+DOGE+VET,104.2,11.49,1.64,3.35,373,81.1,9.71,1.63,357,no
APT+DOGE+WLD,119.3,11.83,1.74,3.6,357,68.6,11.57,1.54,345,no
APT+DOGE+XRP,119.8,9.33,1.73,3.72,346,68.6,8.34,1.59,325,no
APT+ENS+ETH,165.6,9.56,1.95,4.19,358,83.6,11.18,1.67,341,no
APT+ENS+HBAR,116.4,8.97,1.65,3.35,364,91.5,13.21,1.61,390,no
APT+ENS+LTC,166.5,10.55,1.86,4.22,384,82.8,11.68,1.57,374,no
APT+ENS+SNX,167.2,12.35,1.91,4.24,368,104.3,12.61,1.64,390,no
APT+ENS+TON,163.8,8.11,1.89,4.43,372,88.2,11.35,1.67,341,no
APT+ENS+VET,132.8,12.13,1.72,3.53,395,86.2,14.8,1.63,373,no
APT+ENS+WLD,148.9,12.07,1.81,3.87,379,73.5,13.27,1.54,361,no
APT+ENS+XRP,150.2,11.07,1.80,4.0,368,73.6,11.89,1.59,341,no
APT+ETH+HBAR,100.3,8.0,1.71,3.4,323,86.2,14.12,1.64,362,no
APT+ETH+LTC,147.1,9.22,1.97,4.14,343,77.7,9.37,1.60,346,no
APT+ETH+SNX,148.0,7.64,2.04,4.23,327,98.9,11.8,1.67,362,no
APT+ETH+TON,144.9,8.69,2.00,4.35,331,83.1,9.56,1.71,313,no
APT+ETH+VET,115.7,9.0,1.79,3.6,354,81.3,12.17,1.66,345,no
APT+ETH+WLD,131.2,10.3,1.91,3.94,338,68.9,13.02,1.57,333,no
APT+ETH+XRP,132.0,8.35,1.89,3.85,327,68.9,9.74,1.63,313,no
APT+HBAR+LTC,101.1,10.11,1.63,3.28,349,85.6,9.81,1.55,395,no
APT+HBAR+SNX,101.7,10.02,1.67,3.41,333,107.1,14.14,1.61,411,no
APT+HBAR+TON,98.8,11.82,1.66,3.29,337,90.9,13.59,1.65,362,no
APT+HBAR+VET,76.5,11.17,1.49,2.71,360,89.0,19.75,1.60,394,no
APT+HBAR+WLD,87.8,14.1,1.58,2.97,344,76.0,12.93,1.53,382,no
APT+HBAR+XRP,88.3,11.5,1.58,3.1,333,76.2,14.8,1.57,362,no
APT+LTC+SNX,149.5,9.36,1.91,4.19,353,97.7,11.8,1.58,395,no
APT+LTC+TON,147.5,7.29,1.90,4.36,357,82.3,10.09,1.61,346,no
APT+LTC+VET,116.5,9.33,1.71,3.49,380,80.5,10.61,1.57,378,no
APT+LTC+WLD,133.9,9.74,1.81,3.9,364,68.0,10.07,1.49,366,no
APT+LTC+XRP,132.8,8.25,1.80,3.93,353,68.2,11.43,1.53,346,no
APT+SNX+TON,147.2,8.21,1.96,4.45,341,103.9,10.55,1.68,362,no
APT+SNX+VET,117.0,12.15,1.75,3.71,364,101.9,14.15,1.64,394,no
APT+SNX+WLD,133.2,11.2,1.87,4.01,348,88.1,12.19,1.56,382,no
APT+SNX+XRP,133.6,9.4,1.86,4.09,337,87.7,13.25,1.61,362,no
APT+TON+VET,114.1,8.42,1.74,3.65,368,85.9,13.62,1.67,345,no
APT+TON+WLD,131.2,14.1,1.84,4.15,352,73.0,10.43,1.58,333,no
APT+TON+XRP,130.2,7.39,1.83,3.92,341,73.2,9.79,1.64,313,no
APT+VET+WLD,102.1,11.31,1.66,3.24,375,71.4,15.54,1.54,365,no
APT+VET+XRP,102.9,8.82,1.65,3.32,364,71.5,15.82,1.59,345,no
APT+WLD+XRP,117.9,10.62,1.75,3.82,348,59.9,11.94,1.50,333,no
BCH+BNB+BTC,75.2,10.77,1.51,2.78,321,38.8,13.82,1.39,310,no
BCH+BNB+DOGE,109.3,7.28,1.71,3.55,336,57.6,11.68,1.54,311,no
BCH+BNB+ENS,138.0,15.89,1.79,3.89,358,61.9,12.66,1.55,327,no
