label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr24t6,1000PEPE+ADA+APT,0.5,2,73.8,6.96,1.631,3.58,46.8,372,66.4,6.76,1.601
rr24t6,1000PEPE+ADA+APT,0.5,3,82.5,7.3,1.616,3.57,46.8,406,65.2,7.68,1.562
rr24t6,1000PEPE+ADA+BCH,0.5,3,69.2,7.79,1.587,3.41,46.5,381,83.2,7.27,1.726
rr24t6,1000PEPE+ADA+BNB,0.5,2,59.6,6.1,1.480,3.0,46.1,386,56.3,7.41,1.545
rr24t6,1000PEPE+ADA+BNB,0.5,3,66.8,6.65,1.499,3.05,46.5,406,59.1,6.99,1.548
rr24t6,1000PEPE+ADA+DOGE,0.5,2,70.4,7.39,1.612,3.49,46.7,368,60.2,6.9,1.580
rr24t6,1000PEPE+ADA+ENS,0.5,2,80.0,7.84,1.610,3.66,46.8,389,65.4,6.61,1.601
rr24t6,1000PEPE+ADA+ETH,0.5,2,65.6,6.64,1.579,3.33,46.5,361,74.3,5.45,1.717
rr24t6,1000PEPE+ADA+ETH,0.6,2,82.7,7.93,1.569,3.33,46.5,361,94.3,6.51,1.708
rr24t6,1000PEPE+ADA+ETH,0.5,3,70.0,7.48,1.560,3.23,46.3,389,76.4,7.14,1.701
rr24t6,1000PEPE+ADA+TON,0.5,3,72.1,7.31,1.540,3.41,46.0,409,67.5,5.47,1.624
rr24t6,1000PEPE+ADA+WLD,0.5,2,59.5,6.69,1.517,3.11,44.8,373,63.9,6.04,1.588
rr24t6,1000PEPE+ADA+WLD,0.6,2,74.6,7.99,1.508,3.11,44.8,373,80.4,7.22,1.580
rr24t6,1000PEPE+ADA+WLD,0.5,3,63.7,6.32,1.497,3.14,44.4,405,65.1,5.52,1.572
rr24t6,1000PEPE+ADA+WLD,0.6,3,80.0,7.55,1.488,3.14,44.4,405,82.0,6.59,1.564
rr24t6,1000PEPE+APT+BCH,0.5,2,100.5,5.37,1.897,4.49,50.1,379,70.8,7.1,1.660
rr24t6,1000PEPE+APT+BNB,0.5,2,82.0,5.52,1.662,3.68,48.7,392,48.8,7.38,1.479
rr24t6,1000PEPE+APT+BNB,0.5,3,98.7,5.52,1.724,3.96,49.6,417,48.4,7.86,1.461
rr24t6,1000PEPE+APT+DOGE,0.5,2,103.6,5.53,1.886,4.38,50.3,380,52.6,6.57,1.513
rr24t6,1000PEPE+APT+DOGE,0.6,2,133.9,6.61,1.879,4.38,50.3,380,65.6,7.84,1.510
rr24t6,1000PEPE+APT+DOGE,0.5,3,105.4,6.65,1.796,4.12,49.0,416,49.5,6.57,1.467
rr24t6,1000PEPE+APT+DOGE,0.6,3,136.2,7.94,1.788,4.12,49.0,416,61.6,7.84,1.463
rr24t6,1000PEPE+APT+ETH,0.5,2,93.2,6.1,1.824,4.25,49.7,370,65.2,6.77,1.632
rr24t6,1000PEPE+APT+ETH,0.5,3,102.5,6.62,1.810,4.21,49.5,400,64.5,6.77,1.608
rr24t6,1000PEPE+APT+TON,0.5,2,103.9,6.76,1.822,4.57,49.8,396,54.3,7.79,1.532
rr24t6,1000PEPE+APT+WLD,0.5,2,89.8,5.78,1.763,4.07,48.1,387,54.1,6.29,1.516
rr24t6,1000PEPE+APT+WLD,0.6,2,115.0,6.9,1.758,4.07,48.1,387,67.6,7.51,1.510
rr24t6,1000PEPE+APT+WLD,0.5,3,94.6,5.7,1.729,4.0,47.6,416,53.9,6.29,1.489
rr24t6,1000PEPE+APT+WLD,0.6,3,121.5,6.81,1.724,4.0,47.6,416,67.3,7.51,1.484
rr24t6,1000PEPE+BCH+DOGE,0.5,2,90.9,6.68,1.843,4.14,49.7,370,63.1,6.53,1.634
rr24t6,1000PEPE+BCH+DOGE,0.6,2,116.5,7.99,1.842,4.14,49.7,370,79.3,7.79,1.627
rr24t6,1000PEPE+BCH+DOGE,0.5,3,90.5,6.68,1.773,3.95,48.9,391,65.7,6.08,1.629
rr24t6,1000PEPE+BCH+DOGE,0.6,3,116.0,7.99,1.770,3.95,48.9,391,82.8,7.26,1.623
