pairs,oos_annual,oos_dd,oos_pf,oos_trades,is_annual,is_dd,is_pf,is_trades
DOTUSDT+AVAXUSDT+SNXUSDT,133.2,12.49,1.682,336,111.32,14.3,1.56,378
DOTUSDT+AVAXUSDT+ENSUSDT,153.31,10.13,1.647,367,93.0,13.07,1.554,357
DOTUSDT+AVAXUSDT+RUNEUSDT,127.58,9.9,1.715,351,133.03,10.18,1.69,386
DOTUSDT+AVAXUSDT+XRPUSDT,115.22,12.15,1.582,336,75.06,15.8,1.515,329
DOTUSDT+AVAXUSDT+BNBUSDT,109.27,14.33,1.534,346,77.87,18.03,1.517,343
DOTUSDT+AVAXUSDT+ADAUSDT,100.32,12.94,1.529,342,110.96,10.06,1.603,367
DOTUSDT+SNXUSDT+ENSUSDT,226.53,11.93,1.865,372,106.21,18.8,1.527,371
DOTUSDT+SNXUSDT+RUNEUSDT,194.76,10.05,1.994,356,149.11,15.5,1.644,400
DOTUSDT+SNXUSDT+XRPUSDT,179.26,10.33,1.815,341,86.63,16.73,1.495,343
DOTUSDT+SNXUSDT+BNBUSDT,170.93,9.81,1.748,351,90.27,15.72,1.498,357
DOTUSDT+SNXUSDT+ADAUSDT,160.21,10.11,1.76,347,125.57,16.45,1.568,381
DOTUSDT+ENSUSDT+RUNEUSDT,220.45,12.02,1.921,387,127.17,16.14,1.65,379
DOTUSDT+ENSUSDT+XRPUSDT,202.79,13.06,1.756,372,70.37,18.56,1.477,322
DOTUSDT+ENSUSDT+BNBUSDT,193.61,12.12,1.703,382,73.26,16.66,1.479,336
DOTUSDT+ENSUSDT+ADAUSDT,181.39,14.03,1.713,378,105.86,17.12,1.568,360
DOTUSDT+RUNEUSDT+XRPUSDT,172.14,10.21,1.858,356,106.41,13.06,1.626,351
DOTUSDT+RUNEUSDT+BNBUSDT,163.83,10.13,1.791,366,109.62,15.7,1.624,365
DOTUSDT+RUNEUSDT+ADAUSDT,153.4,9.99,1.798,362,149.11,15.42,1.696,389
