label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr22,1000PEPE+ADA+APT+BCH,0.5,2,93.3,5.77,1.767,4.32,51.1,411,83.3,7.96,1.679
rr22,1000PEPE+ADA+APT+BNB,0.5,2,90.2,4.64,1.695,4.09,51.0,431,57.4,6.78,1.504
rr22,1000PEPE+ADA+APT+BNB,0.5,3,109.2,4.95,1.739,4.19,51.7,472,68.7,7.46,1.550
rr22,1000PEPE+ADA+APT+BNB,0.5,4,116.3,5.12,1.757,4.21,52.0,483,65.5,7.46,1.517
rr22,1000PEPE+ADA+APT+DOGE,0.5,2,90.8,7.17,1.751,4.11,50.9,405,68.7,7.88,1.606
rr22,1000PEPE+ADA+APT+DOGE,0.5,3,115.1,7.29,1.792,4.22,51.4,461,73.1,7.72,1.581
rr22,1000PEPE+ADA+APT+ETH,0.5,2,92.3,6.21,1.782,4.19,51.1,405,67.6,6.56,1.616
rr22,1000PEPE+ADA+APT+ETH,0.6,2,118.6,7.41,1.779,4.19,51.1,405,85.3,7.82,1.612
rr22,1000PEPE+ADA+APT+ETH,0.5,3,106.6,6.71,1.796,4.21,51.4,444,76.8,7.08,1.627
rr22,1000PEPE+ADA+APT+ETH,0.5,4,108.9,6.71,1.776,4.08,51.1,460,73.0,7.88,1.588
rr22,1000PEPE+ADA+BNB+DOGE,0.5,2,89.5,6.91,1.700,4.09,51.4,424,49.7,7.89,1.471
rr22,1000PEPE+ADA+BNB+DOGE,0.5,3,108.6,7.21,1.717,4.07,51.7,474,56.0,6.71,1.483
rr22,1000PEPE+ADA+BNB+DOGE,0.5,4,113.5,7.21,1.727,4.06,51.9,484,56.9,6.79,1.486
rr22,1000PEPE+ADA+BNB+ETH,0.5,2,91.8,6.13,1.732,4.23,51.9,420,52.3,7.98,1.500
rr22,1000PEPE+ADA+BNB+XRP,0.5,2,77.0,7.2,1.594,3.65,49.9,429,49.5,7.7,1.477
rr22,1000PEPE+ADA+DOGE+ETH,0.5,2,87.5,6.7,1.751,4.12,51.4,393,60.4,7.17,1.583
rr22,1000PEPE+ADA+DOGE+ETH,0.5,3,105.9,7.4,1.770,4.15,51.5,443,63.3,7.83,1.564
rr22,1000PEPE+ADA+DOGE+ETH,0.5,4,106.2,7.4,1.743,3.98,51.0,461,64.1,7.83,1.560
