label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr16f,1000PEPE+APT+SNX+BNB,0.5,2,91.1,4.94,1.811,4.64,60.4,459,62.1,7.08,1.604
rr16f,1000PEPE+APT+SNX+BNB,0.5,3,96.6,5.96,1.783,4.51,60.0,490,64.1,7.08,1.584
rr16f,1000PEPE+APT+SNX+BNB,0.5,4,100.7,5.96,1.802,4.6,60.3,496,63.6,7.08,1.576
rr16f,1000PEPE+APT+SNX+TON,0.5,2,96.0,4.1,1.853,5.0,59.8,453,73.8,5.71,1.670
rr16f,1000PEPE+APT+SNX+TON,0.6,2,123.7,4.9,1.849,5.0,59.8,453,93.7,6.82,1.653
rr16f,1000PEPE+APT+SNX+TON,0.7,2,155.1,5.7,1.845,4.99,59.8,453,115.8,7.91,1.638
rr16f,1000PEPE+APT+SNX+TON,0.5,3,101.4,4.57,1.818,4.77,59.4,488,75.2,5.71,1.660
rr16f,1000PEPE+APT+SNX+TON,0.6,3,131.0,5.47,1.814,4.76,59.4,488,95.6,6.82,1.647
rr16f,1000PEPE+APT+SNX+TON,0.7,3,164.7,6.37,1.811,4.76,59.4,488,118.2,7.91,1.634
rr16f,1000PEPE+APT+SNX+TON,0.5,4,101.8,4.73,1.809,4.72,59.3,494,74.1,5.71,1.642
rr16f,1000PEPE+APT+SNX+TON,0.6,4,131.5,5.65,1.806,4.71,59.3,494,94.1,6.82,1.629
rr16f,1000PEPE+APT+SNX+TON,0.7,4,165.4,6.57,1.803,4.71,59.3,494,116.2,7.91,1.617
rr16f,1000PEPE+APT+SNX+BCH,0.5,2,82.5,4.79,1.748,4.42,58.9,438,83.5,5.86,1.781
rr16f,1000PEPE+APT+SNX+BCH,0.6,2,105.4,5.73,1.738,4.42,58.9,438,106.7,6.99,1.770
rr16f,1000PEPE+APT+SNX+BCH,0.5,3,88.4,4.63,1.748,4.44,59.0,461,85.4,6.27,1.761
rr16f,1000PEPE+APT+SNX+BCH,0.6,3,113.3,5.54,1.738,4.44,59.0,461,109.3,7.49,1.754
rr16f,1000PEPE+APT+SNX+BCH,0.5,4,86.1,4.63,1.717,4.34,58.6,466,88.2,6.27,1.776
rr16f,1000PEPE+APT+SNX+BCH,0.6,4,110.2,5.54,1.708,4.34,58.6,466,113.0,7.49,1.770
rr16f,1000PEPE+APT+SNX+LTC,0.5,2,98.2,4.57,1.863,5.13,60.2,452,82.5,6.98,1.753
rr16f,1000PEPE+APT+SNX+LTC,0.5,3,102.0,5.79,1.797,4.98,59.6,490,85.6,6.98,1.723
rr16f,1000PEPE+APT+SNX+LTC,0.5,4,101.8,5.15,1.772,4.91,59.3,501,84.9,6.98,1.703
rr16f,1000PEPE+APT+SNX+ETH,0.5,2,80.3,4.53,1.774,4.49,59.1,425,72.4,6.5,1.726
rr16f,1000PEPE+APT+SNX+ETH,0.6,2,102.4,5.42,1.767,4.49,59.1,425,91.8,7.75,1.716
rr16f,1000PEPE+APT+SNX+ETH,0.5,3,90.0,5.16,1.782,4.42,59.0,463,76.1,6.5,1.720
rr16f,1000PEPE+APT+SNX+ETH,0.6,3,115.4,6.17,1.777,4.42,59.0,463,96.7,7.75,1.713
rr16f,1000PEPE+APT+SNX+ETH,0.5,4,92.2,5.16,1.785,4.43,59.1,469,74.2,6.5,1.691
rr16f,1000PEPE+APT+SNX+ETH,0.6,4,118.4,6.17,1.780,4.42,59.1,469,94.2,7.75,1.684
rr16f,1000PEPE+APT+SNX+DOGE,0.5,2,90.0,6.7,1.807,4.67,59.5,439,70.3,6.93,1.677
rr16f,1000PEPE+APT+SNX+DOGE,0.5,3,96.3,7.23,1.773,4.5,58.9,479,71.8,6.93,1.662
rr16f,1000PEPE+APT+SNX+DOGE,0.5,4,97.2,7.23,1.758,4.37,58.7,491,71.3,6.93,1.652
rr16f,1000PEPE+APT+SNX+VET,0.5,2,91.8,5.03,1.783,4.58,58.9,469,82.4,4.99,1.738
rr16f,1000PEPE+APT+SNX+VET,0.6,2,118.0,6.02,1.777,4.58,58.9,469,105.2,5.96,1.726
rr16f,1000PEPE+APT+SNX+VET,0.7,2,147.5,6.99,1.772,4.58,58.9,469,130.8,6.92,1.714
rr16f,1000PEPE+APT+SNX+VET,0.8,2,180.7,7.96,1.766,4.58,58.9,469,159.3,7.88,1.702
rr16f,1000PEPE+APT+SNX+VET,0.5,3,101.0,5.64,1.779,4.59,58.8,510,80.0,6.26,1.670
rr16f,1000PEPE+APT+SNX+VET,0.6,3,130.5,6.74,1.775,4.59,58.8,510,101.9,7.49,1.661
rr16f,1000PEPE+APT+SNX+VET,0.5,4,102.6,5.64,1.770,4.56,58.8,519,77.6,6.26,1.649
rr16f,1000PEPE+APT+SNX+VET,0.6,4,132.6,6.74,1.765,4.56,58.8,519,98.8,7.49,1.641
rr16f,1000PEPE+APT+BNB+TON,0.5,2,100.5,3.97,1.855,5.03,61.2,479,53.9,6.94,1.575
rr16f,1000PEPE+APT+BNB+TON,0.5,3,108.5,4.3,1.851,4.92,61.0,508,55.1,6.94,1.559
rr16f,1000PEPE+APT+BNB+TON,0.5,4,109.7,4.3,1.851,4.95,61.0,513,54.5,6.94,1.547
rr16f,1000PEPE+APT+BNB+BCH,0.5,2,85.8,4.95,1.770,4.66,60.5,456,61.4,7.7,1.675
rr16f,1000PEPE+APT+BNB+BCH,0.5,3,95.0,4.95,1.781,4.72,60.7,481,67.5,7.07,1.691
rr16f,1000PEPE+APT+BNB+BCH,0.5,4,93.4,4.95,1.760,4.64,60.4,485,67.1,7.07,1.682
rr16f,1000PEPE+APT+BNB+LTC,0.5,2,100.8,3.8,1.850,5.17,61.5,475,61.6,7.64,1.647
rr16f,1000PEPE+APT+BNB+ETH,0.5,2,85.1,4.38,1.793,4.61,60.4,447,57.3,7.71,1.669
rr16f,1000PEPE+APT+BNB+ETH,0.5,3,96.7,4.18,1.822,4.76,60.8,480,56.9,7.71,1.626
rr16f,1000PEPE+APT+BNB+ETH,0.5,4,99.8,4.55,1.829,4.75,60.9,488,54.6,7.71,1.588
rr16f,1000PEPE+APT+BNB+DOGE,0.5,3,100.7,6.41,1.788,4.58,60.4,502,53.2,7.71,1.562
rr16f,1000PEPE+APT+BNB+DOGE,0.5,4,104.8,6.41,1.798,4.58,60.4,510,52.1,7.71,1.548
rr16f,1000PEPE+APT+BNB+VET,0.5,2,92.9,4.81,1.787,4.73,60.0,492,55.0,5.49,1.581
rr16f,1000PEPE+APT+BNB+VET,0.6,2,119.4,5.75,1.789,4.73,60.0,492,68.9,6.56,1.581
rr16f,1000PEPE+APT+BNB+VET,0.7,2,149.3,6.7,1.790,4.73,60.0,492,83.8,7.63,1.581
rr16f,1000PEPE+APT+BNB+VET,0.5,3,113.0,4.99,1.849,5.08,60.8,531,57.3,6.31,1.566
rr16f,1000PEPE+APT+BNB+VET,0.6,3,147.1,5.97,1.848,5.08,60.8,531,71.9,7.56,1.565
rr16f,1000PEPE+APT+BNB+VET,0.5,4,110.5,4.99,1.813,4.93,60.4,538,57.6,6.5,1.555
rr16f,1000PEPE+APT+BNB+VET,0.6,4,143.5,5.97,1.811,4.93,60.4,538,72.2,7.79,1.553
rr16f,1000PEPE+APT+TON+BCH,0.5,2,94.3,4.58,1.820,4.9,60.3,453,70.7,5.78,1.737
rr16f,1000PEPE+APT+TON+BCH,0.6,2,121.3,5.48,1.812,4.9,60.3,453,89.6,6.9,1.728
rr16f,1000PEPE+APT+TON+BCH,0.5,3,94.2,4.58,1.773,4.61,59.5,479,76.7,5.78,1.755
rr16f,1000PEPE+APT+TON+BCH,0.6,3,121.2,5.48,1.767,4.61,59.5,479,97.6,6.9,1.746
