pairs,risk_pct,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf,passes
BCH+DOGE+HBAR,0.45,59.5,5.97,1.61,3.29,322,50.4,5.47,1.58,no
BCH+DOGE+HBAR,0.5,67.7,6.62,1.61,3.29,322,57.2,6.07,1.58,no
BCH+DOGE+HBAR,0.55,76.4,7.26,1.61,3.29,322,64.2,6.66,1.58,no
BCH+DOGE+HBAR,0.6,85.4,7.89,1.60,3.29,322,71.5,7.25,1.58,no
BCH+DOGE+HBAR,0.65,94.9,8.53,1.60,3.29,322,79.1,7.85,1.58,no
BCH+DOGE+HBAR,0.7,104.8,9.15,1.60,3.29,322,86.9,8.43,1.58,no
BCH+DOGE+HBAR,0.75,115.1,9.78,1.59,3.29,322,95.1,9.02,1.58,no
