label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr26,1000PEPE+ADA+APT,0.5,2,69.0,5.25,1.680,3.41,45.7,326,77.2,6.41,1.770
rr26,1000PEPE+ADA+APT,0.6,2,87.2,6.27,1.672,3.41,45.7,326,98.1,7.65,1.760
rr26,1000PEPE+ADA+APT,0.5,3,76.8,5.82,1.690,3.41,45.9,351,77.1,7.64,1.732
rr26,1000PEPE+ADA+BNB,0.5,2,61.0,7.05,1.563,3.12,45.6,340,49.9,7.84,1.556
rr26,1000PEPE+ADA+BNB,0.5,3,70.2,7.05,1.607,3.17,46.4,356,54.8,7.82,1.582
rr26,1000PEPE+ADA+DOGE,0.5,2,70.5,6.72,1.695,3.49,46.4,321,62.1,7.1,1.688
rr26,1000PEPE+ADA+DOGE,0.5,3,74.1,6.08,1.651,3.33,45.7,352,64.4,6.94,1.686
rr26,1000PEPE+ADA+ETH,0.5,2,69.4,6.91,1.732,3.54,46.8,310,64.7,5.84,1.759
rr26,1000PEPE+ADA+ETH,0.5,3,69.9,7.48,1.678,3.27,46.0,333,65.2,6.5,1.720
rr26,1000PEPE+ADA+LTC,0.5,3,90.3,7.43,1.749,4.05,47.5,362,60.2,7.57,1.578
rr26,1000PEPE+ADA+TON,0.5,2,68.4,7.19,1.653,3.51,45.9,331,61.7,7.41,1.672
rr26,1000PEPE+ADA+TON,0.5,3,78.6,7.05,1.701,3.66,46.6,350,64.2,7.98,1.690
rr26,1000PEPE+APT+BNB,0.5,2,74.4,7.42,1.682,3.48,47.5,341,52.8,7.79,1.595
rr26,1000PEPE+APT+DOGE,0.5,2,87.1,7.18,1.839,3.97,48.3,331,63.3,5.82,1.706
rr26,1000PEPE+APT+DOGE,0.5,3,90.2,7.18,1.790,3.79,47.6,355,61.9,5.82,1.669
rr26,1000PEPE+APT+ETH,0.5,2,85.5,5.51,1.896,4.07,48.7,316,65.5,6.7,1.761
rr26,1000PEPE+APT+ETH,0.5,3,85.6,5.51,1.830,3.83,47.9,336,62.7,7.37,1.702
rr26,1000PEPE+APT+TON,0.5,2,88.1,5.25,1.837,4.19,48.5,332,59.3,6.56,1.670
rr26,1000PEPE+APT+TON,0.6,2,112.8,6.28,1.830,4.19,48.5,332,74.4,7.85,1.660
rr26,1000PEPE+APT+TON,0.5,3,95.0,5.32,1.843,4.17,48.4,353,61.7,7.06,1.673
rr26,1000PEPE+BCH+DOGE,0.5,2,77.6,5.67,1.815,3.91,48.1,316,59.3,6.42,1.729
rr26,1000PEPE+BCH+DOGE,0.6,2,98.6,6.77,1.810,3.9,48.1,316,74.4,7.66,1.724
rr26,1000PEPE+BCH+DOGE,0.5,3,77.6,5.3,1.741,3.75,47.3,334,61.8,5.51,1.735
rr26,1000PEPE+BCH+DOGE,0.6,3,98.6,6.33,1.734,3.75,47.3,334,77.7,6.59,1.729
rr26,1000PEPE+BCH+DOGE,0.7,3,121.8,7.35,1.726,3.75,47.3,334,95.1,7.67,1.724
rr26,1000PEPE+BCH+ETH,0.5,2,75.4,7.23,1.844,3.87,48.4,306,67.4,6.83,1.874
rr26,1000PEPE+BCH+ETH,0.5,3,73.2,7.23,1.774,3.66,47.6,315,62.7,7.53,1.777
rr26,1000PEPE+BCH+HBAR,0.5,2,57.9,7.71,1.592,3.22,45.2,312,61.4,7.88,1.636
rr26,1000PEPE+BCH+HBAR,0.5,3,55.9,7.71,1.557,3.08,44.5,321,64.6,7.59,1.646
rr26,1000PEPE+BCH+TON,0.5,2,72.1,6.84,1.731,3.68,47.2,322,61.1,7.92,1.753
rr26,1000PEPE+BCH+TON,0.5,3,82.0,6.84,1.795,3.89,48.2,332,61.5,7.97,1.742
rr26,1000PEPE+BNB+DOGE,0.5,3,83.2,6.21,1.698,3.57,48.1,360,41.5,7.41,1.501
rr26,1000PEPE+BNB+TON,0.5,2,80.0,5.2,1.721,3.77,48.4,345,41.4,7.6,1.514
rr26,1000PEPE+DOGE+HBAR,0.5,2,63.2,6.23,1.609,3.37,45.3,322,51.2,6.98,1.542
rr26,1000PEPE+DOGE+HBAR,0.5,3,64.7,6.74,1.577,3.26,44.9,343,52.9,6.84,1.540
rr26,1000PEPE+DOGE+TON,0.5,2,84.5,5.11,1.804,4.05,48.3,331,49.5,7.25,1.612
