label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf
rr28,BNB+ETH+TON,0.5,3,104.1,6.28,1.90,4.19,343,36.2,6.51,1.47
perpair,BNB+ETH+VET,0.45,3,104.1,6.89,1.90,4.19,356,44.5,7.51,1.54
rr28,ETH+HBAR+LTC,0.55,3,104.1,7.33,1.80,4.13,338,48.8,7.05,1.43
perpair,APT+BCH+DOGE,0.45,2,104.1,5.44,1.98,4.39,362,66.3,7.08,1.69
rr28,BCH+ETH+VET,0.55,3,104.1,6.36,1.88,4.2,339,64.5,6.49,1.67
rr40_sb20,APT+DOGE+XRP,0.5,2,104.0,7.73,1.77,3.66,333,62.5,7.32,1.60
default,BCH+ETH+VET,0.6,2,104.0,7.73,1.83,3.64,326,66.8,7.55,1.66
rr28,ADA+DOGE+LTC,0.5,3,103.9,5.79,1.82,4.13,366,54.3,7.66,1.52
rr28,LTC+SNX+TON,0.45,3,103.9,4.88,1.99,4.85,357,50.7,7.15,1.53
perpair,BCH+DOGE+TON,0.45,2,103.9,4.47,1.99,4.52,350,50.9,7.79,1.57
perpair,APT+SNX+TON,0.45,3,103.9,5.11,1.96,4.54,357,66.2,7.59,1.60
perpair,APT+BCH+TON,0.45,2,103.8,5.82,2.09,4.79,327,67.9,5.77,1.79
default,DOGE+TON+XRP,0.5,2,103.8,5.82,1.87,4.0,327,38.2,6.88,1.48
rr28,BCH+DOGE+VET,0.55,3,103.7,7.8,1.79,3.9,358,69.7,7.4,1.69
rr28,APT+DOGE+TON,0.5,2,103.6,6.45,1.95,4.34,332,58.9,7.27,1.68
rr28,APT+BCH+SNX,0.5,3,103.5,6.28,1.98,4.42,328,91.6,7.65,1.80
rr28,LTC+TON+XRP,0.5,3,103.5,6.94,1.84,4.18,356,38.5,6.23,1.45
rr28,APT+BCH+ETH,0.5,2,103.5,6.8,2.07,4.68,311,71.8,6.9,1.85
perpair,APT+DOGE+TON,0.45,3,103.5,5.28,1.91,4.35,369,52.0,7.75,1.56
perpair,1000PEPE+BNB+TON,0.5,2,103.4,5.8,1.89,4.02,326,45.9,7.78,1.52
rr28,APT+LTC+SNX,0.45,3,103.4,7.09,1.98,4.57,359,63.8,7.77,1.60
rr28,DOGE+TON+XRP,0.55,2,103.4,6.69,1.80,3.9,332,48.7,6.39,1.57
perpair,APT+DOGE+XRP,0.45,2,103.4,4.67,1.88,4.35,353,53.2,5.85,1.59
rr28,ETH+TON+VET,0.55,2,103.3,5.65,1.88,4.24,339,50.4,7.51,1.57
perpair,LTC+TON+XRP,0.5,2,103.3,6.8,1.91,4.01,309,48.5,5.77,1.55
thr06,APT+BCH+BNB,0.5,3,103.3,7.71,1.76,3.84,387,70.2,7.75,1.60
perpair,BNB+TON+XRP,0.45,3,103.3,6.64,1.93,4.15,321,35.2,6.11,1.48
perpair,APT+BNB+WLD,0.5,2,103.1,6.53,1.84,4.27,342,50.9,7.82,1.54
rr28,DOGE+LTC+XRP,0.55,2,103.0,7.13,1.76,3.85,345,43.8,7.39,1.46
rr28,BCH+DOGE+HBAR,0.6,2,103.0,7.89,1.75,3.94,318,80.9,6.27,1.67
thr06,DOGE+ETH+TON,0.45,3,103.0,5.96,1.81,4.16,390,47.1,7.72,1.49
rr28,ETH+LTC+TON,0.45,3,102.9,4.64,2.03,4.77,347,35.0,7.35,1.47
rr28,APT+BCH+TON,0.5,2,102.8,7.48,2.00,4.51,319,72.5,7.0,1.83
rr28,APT+BCH+ETH,0.5,3,102.8,6.8,2.03,4.56,318,69.7,6.91,1.78
thr06,APT+BCH+ETH,0.45,3,102.7,6.15,1.93,4.41,370,68.0,7.82,1.68
rr28,APT+ETH+LTC,0.45,3,102.7,4.46,2.03,4.59,349,46.9,7.26,1.55
default,APT+TON+XRP,0.5,2,102.7,5.96,1.91,4.09,325,60.1,7.7,1.69
thr06,ETH+TON+VET,0.5,2,102.6,6.76,1.81,4.05,377,56.1,7.34,1.55
default,APT+DOGE+TON,0.5,3,102.5,6.08,1.82,4.12,350,65.8,7.46,1.69
perpair,ADA+DOGE+ETH,0.45,3,102.5,7.16,1.83,3.66,374,58.1,7.84,1.56
perpair,LTC+TON+XRP,0.5,3,102.4,6.8,1.87,3.83,318,46.8,5.77,1.51
rr28,APT+BCH+DOGE,0.5,3,102.4,5.63,1.93,4.34,337,74.5,6.44,1.80
rr28,BCH+DOGE+TON,0.5,3,102.4,6.44,1.92,4.32,335,58.9,6.69,1.72
perpair,ADA+APT+ETH,0.45,2,102.3,6.01,2.03,4.31,327,67.9,7.07,1.71
rr40_sb20,DOGE+TON+XRP,0.45,2,102.2,6.66,1.86,3.68,331,40.5,7.4,1.48
rr28,APT+BNB+TON,0.5,2,102.2,7.31,1.87,4.25,349,50.7,7.6,1.58
perpair,APT+BNB+DOGE,0.5,2,102.2,5.82,1.84,3.89,338,56.3,7.48,1.57
perpair,DOGE+ETH+LTC,0.5,2,102.2,7.9,1.85,3.67,326,60.2,6.68,1.58
perpair,DOGE+TON+XRP,0.45,2,102.1,5.06,1.90,4.15,342,42.7,6.64,1.51
rr28,1000PEPE+APT+TON,0.55,3,102.1,7.51,1.79,3.95,349,77.3,7.35,1.71
perpair,BCH+BNB+TON,0.45,3,102.0,5.37,2.02,4.45,324,46.6,7.83,1.60
perpair,APT+LTC+TON,0.5,2,102.0,5.49,2.03,4.5,304,62.6,7.4,1.67
perpair,1000PEPE+SNX+TON,0.45,2,101.9,6.43,1.96,4.42,350,60.2,6.5,1.56
perpair,BCH+TON+WLD,0.45,3,101.8,7.1,1.94,4.45,365,49.9,7.84,1.54
thr06,APT+BCH+WLD,0.5,2,101.8,7.73,1.82,3.98,377,75.4,7.1,1.66
rr28,SNX+TON+VET,0.5,3,101.7,7.97,1.85,4.12,368,62.7,7.79,1.58
thr06,APT+ETH+SNX,0.45,3,101.7,7.84,1.84,4.03,382,70.1,6.91,1.58
default,APT+DOGE+TON,0.5,2,101.7,6.08,1.90,4.21,324,67.6,6.86,1.73
perpair,DOGE+SNX+TON,0.45,3,101.6,7.28,1.84,4.14,377,55.0,7.31,1.49
default,DOGE+TON+XRP,0.5,3,101.6,7.29,1.80,3.84,343,36.6,6.88,1.44
perpair,APT+LTC+TON,0.5,3,101.6,6.06,1.93,4.33,325,59.6,7.56,1.61
rr28,DOGE+HBAR+LTC,0.55,2,101.5,7.12,1.75,3.96,336,52.5,7.56,1.46
perpair,ADA+BNB+ETH,0.45,3,101.4,7.76,1.91,3.97,333,51.8,7.4,1.58
thr06,APT+ETH+TON,0.45,3,101.4,7.21,1.83,4.27,387,58.1,7.48,1.58
rr28,ADA+APT+TON,0.5,3,101.4,6.62,1.86,4.14,353,70.0,7.42,1.68
rr28,DOGE+ETH+TON,0.5,2,101.3,6.69,2.01,4.31,316,45.9,6.88,1.62
perpair,1000PEPE+TON+XRP,0.45,2,101.2,5.25,1.94,4.2,337,49.1,6.62,1.59
rr28,BCH+DOGE+VET,0.55,2,101.2,6.44,1.83,4.02,345,59.3,6.47,1.62
perpair,1000PEPE+APT+TON,0.45,2,101.1,6.0,2.03,4.51,335,57.5,7.54,1.66
thr06,APT+DOGE+ETH,0.45,3,101.1,7.09,1.80,3.99,394,55.5,7.69,1.54
rr28,ADA+ETH+LTC,0.5,2,101.0,5.91,1.93,4.36,332,45.1,5.68,1.49
thr06,BCH+ETH+VET,0.5,2,101.0,6.54,1.84,3.89,373,63.8,7.8,1.62
default,APT+BCH+TON,0.5,2,100.9,6.83,1.98,4.17,311,83.7,6.47,1.94
perpair,APT+ETH+LTC,0.45,2,100.9,4.74,2.06,4.52,313,60.6,6.88,1.69
rr28,ETH+TON+VET,0.5,3,100.8,5.18,1.89,4.4,358,44.0,7.0,1.53
perpair,BNB+SNX+TON,0.45,3,100.7,4.68,1.93,4.29,336,48.3,7.89,1.50
default,APT+BNB+XRP,0.55,2,100.7,7.58,1.72,3.63,333,57.8,7.71,1.58
perpair,SNX+TON+XRP,0.45,2,100.6,7.87,1.90,4.17,340,54.8,7.56,1.55
thr06,APT+ETH+XRP,0.45,2,100.6,6.27,1.88,4.22,360,44.8,7.92,1.49
rr28,ETH+LTC+SNX,0.45,3,100.6,4.99,2.03,4.63,341,48.1,7.11,1.51
thr06,1000PEPE+BCH+ETH,0.45,2,100.6,7.01,2.00,4.26,344,61.0,7.4,1.67
rr28,BCH+TON+VET,0.55,2,100.5,7.13,1.83,4.11,341,66.1,6.25,1.69
thr06,1000PEPE+BCH+TON,0.5,2,100.5,7.99,1.83,4.01,359,71.2,6.63,1.66
rr40_sb20,BNB+TON+XRP,0.45,2,100.4,7.11,1.78,3.68,340,41.8,7.47,1.50
perpair,APT+DOGE+ETH,0.45,2,100.4,4.69,1.93,4.24,343,57.1,7.02,1.60
rr28,BCH+LTC+VET,0.5,3,100.4,6.1,1.85,4.23,367,58.0,7.68,1.59
perpair,ETH+LTC+TON,0.45,2,100.4,5.94,2.06,4.5,307,45.8,5.77,1.55
perpair,APT+DOGE+XRP,0.45,3,100.3,5.71,1.82,4.1,370,54.0,6.34,1.57
rr28,BCH+LTC+WLD,0.5,2,100.2,7.47,1.90,4.49,342,44.8,7.38,1.49
thr06,1000PEPE+ETH+TON,0.45,2,100.1,5.55,1.93,4.27,354,52.5,6.49,1.58
default,1000PEPE+DOGE+TON,0.5,2,100.1,5.11,1.89,4.03,322,51.2,7.76,1.58
perpair,ETH+HBAR+XRP,0.45,2,100.0,7.66,1.87,4.16,328,51.7,7.88,1.55
perpair,1000PEPE+DOGE+TON,0.45,2,99.9,5.04,1.93,4.18,353,46.6,7.89,1.52
rr28,DOGE+LTC+XRP,0.5,3,99.8,6.5,1.79,3.98,359,39.9,6.89,1.45
rr28,BCH+ETH+VET,0.55,2,99.8,5.8,1.88,4.21,331,61.8,7.14,1.67
rr28,BNB+ETH+TON,0.5,2,99.8,6.28,1.92,4.22,330,37.4,6.51,1.50
rr28,LTC+SNX+TON,0.45,2,99.8,4.21,2.04,4.93,338,49.4,7.93,1.53
perpair,APT+DOGE+TON,0.45,2,99.7,4.64,1.96,4.37,344,51.9,7.21,1.58
perpair,ETH+HBAR+LTC,0.55,3,99.7,7.71,1.75,3.73,321,66.8,6.82,1.52
rr28,ETH+LTC+TON,0.45,2,99.7,4.69,2.07,4.82,334,35.5,6.8,1.49
perpair,1000PEPE+ETH+VET,0.45,2,99.6,6.86,1.93,4.06,361,58.0,7.99,1.64
rr28,APT+BNB+ETH,0.5,2,99.6,5.26,1.92,4.02,330,46.6,7.82,1.55
perpair,APT+BCH+XRP,0.45,2,99.6,6.74,1.98,4.46,335,66.8,7.32,1.78
perpair,APT+ETH+LTC,0.45,3,99.4,5.56,1.98,4.29,332,61.5,7.39,1.66
rr40_sb20,APT+TON+XRP,0.45,2,99.4,6.79,1.88,3.91,332,63.1,6.67,1.67
perpair,APT+DOGE+HBAR,0.55,2,99.3,7.33,1.71,3.77,344,75.5,7.33,1.58
perpair,BCH+ETH+LTC,0.45,3,99.1,7.05,1.99,4.22,328,62.1,5.57,1.67
rr28,ADA+APT+ETH,0.5,3,99.1,6.57,1.90,3.89,337,66.8,7.25,1.66
thr06,APT+ETH+VET,0.5,2,99.0,6.02,1.77,3.84,382,72.2,7.27,1.67
rr28,BCH+LTC+TON,0.5,2,99.0,6.9,1.92,4.43,334,50.7,7.65,1.58
perpair,APT+SNX+TON,0.45,2,99.0,4.89,1.98,4.58,336,67.4,7.59,1.63
perpair,APT+BNB+XRP,0.45,3,99.0,5.42,1.90,4.12,329,47.7,7.75,1.60
perpair,DOGE+SNX+TON,0.45,2,98.9,6.39,1.88,4.28,356,56.5,7.31,1.51
perpair,APT+ENS+ETH,0.45,2,98.8,5.87,1.91,4.32,327,56.2,7.7,1.65
perpair,BCH+DOGE+HBAR,0.55,2,98.8,7.98,1.72,3.66,348,74.9,6.81,1.58
rr28,BCH+LTC+VET,0.5,2,98.8,6.1,1.89,4.33,353,59.5,7.0,1.64
thr06,BCH+ETH+LTC,0.45,3,98.8,7.71,1.87,4.02,378,49.3,6.52,1.50
thr06,1000PEPE+BNB+TON,0.5,2,98.8,6.75,1.73,3.74,374,49.4,7.92,1.47
thr06,1000PEPE+BNB+TON,0.5,3,98.7,7.9,1.67,3.6,397,53.2,7.87,1.49
rr28,ADA+APT+DOGE,0.5,3,98.7,6.76,1.81,3.75,356,71.5,7.5,1.67
rr28,APT+ETH+HBAR,0.55,3,98.6,7.55,1.80,3.98,328,67.4,7.89,1.58
rr28,1000PEPE+ETH+TON,0.55,3,98.6,6.23,1.82,3.85,331,56.9,7.74,1.62
default,ADA+DOGE+ETH,0.55,2,98.5,7.65,1.80,3.53,308,57.2,7.92,1.56
perpair,ADA+APT+BNB,0.5,3,98.5,6.32,1.84,3.77,334,64.4,7.68,1.64
rr28,BNB+TON+XRP,0.55,2,98.5,7.42,1.74,3.75,343,39.3,7.46,1.46
rr28,1000PEPE+DOGE+TON,0.55,2,98.4,5.61,1.81,3.93,328,63.0,7.95,1.66
perpair,APT+BCH+DOGE,0.45,3,98.4,5.44,1.89,4.14,373,67.0,7.74,1.67
thr06,1000PEPE+ETH+TON,0.45,3,98.3,6.37,1.82,4.04,380,53.1,7.56,1.56
rr28,LTC+SNX+VET,0.5,2,98.3,7.68,1.86,4.18,356,59.5,7.8,1.54
perpair,BCH+LTC+TON,0.5,2,98.3,7.21,1.96,4.25,314,58.1,7.86,1.62
rr28,APT+SNX+TON,0.45,3,98.3,6.8,1.99,4.63,347,66.0,6.73,1.68
rr28,BCH+BNB+VET,0.55,3,98.3,6.57,1.73,3.79,363,61.2,7.08,1.61
perpair,1000PEPE+LTC+TON,0.5,2,98.3,6.3,1.92,4.13,319,51.3,7.28,1.54
rr40_sb20,APT+BCH+DOGE,0.5,2,98.2,7.88,1.82,3.55,325,80.8,7.96,1.74
perpair,1000PEPE+APT+BCH,0.45,2,98.2,5.77,1.98,4.36,350,75.5,7.83,1.79
default,APT+BCH+ETH,0.5,3,98.2,5.63,1.97,4.1,314,76.3,7.92,1.85
perpair,1000PEPE+BCH+TON,0.45,3,98.2,5.64,1.94,4.25,355,59.0,5.72,1.65
default,APT+LTC+TON,0.45,3,98.2,5.51,1.90,4.36,357,57.5,7.65,1.62
default,APT+ETH+LTC,0.45,3,98.1,6.98,1.96,4.15,343,54.5,7.05,1.60
perpair,1000PEPE+APT+TON,0.45,3,98.1,6.0,1.92,4.27,359,58.4,7.54,1.64
rr28,BCH+DOGE+HBAR,0.6,3,98.1,7.89,1.70,3.78,326,79.8,6.55,1.64
perpair,ETH+HBAR+TON,0.45,3,98.0,6.09,1.90,4.41,337,49.5,6.7,1.52
default,APT+SNX+TON,0.45,3,98.0,6.23,1.96,4.45,341,71.3,7.99,1.70
rr28,ADA+BCH+LTC,0.5,3,97.9,5.27,1.86,4.25,344,66.9,7.68,1.63
thr06,ETH+LTC+TON,0.45,3,97.9,7.24,1.78,4.24,395,40.5,7.24,1.42
rr28,LTC+TON+XRP,0.5,2,97.8,6.94,1.84,4.24,343,40.6,5.75,1.49
perpair,DOGE+ETH+VET,0.45,2,97.8,7.91,1.89,3.93,361,51.3,6.31,1.58
default,APT+BCH+TON,0.5,3,97.8,7.45,1.90,3.98,328,79.9,6.47,1.86
rr28,APT+BCH+BNB,0.5,3,97.7,7.43,1.85,4.26,342,66.4,6.62,1.72
default,DOGE+SNX+TON,0.45,2,97.7,7.22,1.98,4.34,327,50.5,6.95,1.54
thr06,APT+BCH+ETH,0.45,2,97.6,6.15,1.98,4.46,349,63.7,6.4,1.68
perpair,APT+ENS+TON,0.45,2,97.6,7.24,1.93,4.34,328,53.5,7.22,1.66
rr28,BCH+BNB+TON,0.5,3,97.6,7.1,1.85,4.07,340,51.5,7.83,1.63
default,LTC+TON+XRP,0.45,3,97.6,7.51,1.88,4.16,350,32.2,6.9,1.40
default,1000PEPE+APT+TON,0.5,2,97.5,6.66,1.88,4.08,322,74.0,6.8,1.78
default,APT+LTC+TON,0.45,2,97.5,5.59,1.97,4.53,334,58.8,7.5,1.66
rr28,APT+ETH+TON,0.45,3,97.5,7.38,2.03,4.56,337,48.8,6.7,1.65
rr28,ETH+LTC+VET,0.5,2,97.5,6.64,1.89,4.32,353,38.7,7.74,1.45
perpair,APT+ETH+VET,0.45,2,97.4,5.56,1.93,4.3,355,64.6,7.65,1.73
rr28,BCH+ETH+SNX,0.5,2,97.4,5.8,2.03,4.47,304,73.2,5.75,1.79
default,SNX+TON+XRP,0.45,3,97.4,6.84,1.94,4.23,334,43.9,7.94,1.49
default,DOGE+ETH+TON,0.45,3,97.3,4.58,1.96,4.33,333,38.4,7.04,1.52
rr28,DOGE+ETH+HBAR,0.6,2,97.3,7.13,1.73,3.78,313,55.9,7.64,1.50
rr28,APT+ETH+TON,0.45,2,97.3,7.08,2.10,4.66,319,51.9,6.7,1.73
default,SNX+TON+XRP,0.45,2,97.3,6.13,1.97,4.28,327,44.6,7.94,1.52
perpair,1000PEPE+SNX+TON,0.45,3,97.2,7.77,1.85,4.22,367,60.9,6.19,1.55
thr06,APT+BCH+DOGE,0.45,2,97.2,6.91,1.88,4.15,373,66.8,7.47,1.65
perpair,APT+BCH+BNB,0.45,3,97.2,6.08,1.98,4.36,332,60.2,7.4,1.71
thr06,1000PEPE+APT+BCH,0.45,2,97.2,6.69,1.93,4.29,363,76.6,7.39,1.75
perpair,BCH+DOGE+LTC,0.5,2,97.2,6.81,1.86,3.86,334,64.2,7.96,1.61
perpair,APT+BCH+LTC,0.5,2,97.2,5.29,1.98,4.21,317,77.4,7.26,1.75
rr28,APT+DOGE+TON,0.45,3,97.2,5.82,1.93,4.36,356,52.5,6.9,1.67
default,APT+BCH+DOGE,0.5,2,97.1,6.56,1.88,4.1,324,76.0,7.63,1.84
perpair,1000PEPE+ADA+ETH,0.45,3,97.1,7.21,1.85,3.72,364,64.7,7.94,1.63
perpair,DOGE+ETH+LTC,0.45,3,97.1,7.27,1.85,3.69,352,50.5,7.04,1.52
default,APT+ETH+SNX,0.45,2,97.0,5.4,2.06,4.34,315,65.7,7.18,1.71
perpair,APT+BCH+WLD,0.45,3,97.0,6.95,1.90,4.31,373,63.9,6.95,1.64
rr28,BCH+LTC+TON,0.45,3,97.0,5.62,1.98,4.61,344,48.7,6.91,1.62
rr28,BCH+BNB+LTC,0.5,2,96.9,6.51,1.86,4.22,338,47.2,7.8,1.53
thr06,BCH+DOGE+ETH,0.45,2,96.9,6.58,1.92,4.12,352,48.7,6.59,1.54
rr28,APT+ETH+LTC,0.45,2,96.8,3.91,2.03,4.51,335,43.3,6.55,1.53
perpair,ENS+ETH+LTC,0.45,2,96.8,6.39,1.93,4.1,311,47.6,7.79,1.57
thr06,BCH+DOGE+TON,0.45,2,96.8,6.55,1.86,4.26,369,57.4,7.55,1.61
perpair,APT+BCH+ENS,0.45,2,96.7,6.8,1.95,4.26,337,63.8,7.75,1.74
perpair,ADA+ETH+LTC,0.5,2,96.7,7.02,1.88,3.89,311,64.9,6.68,1.63
thr06,BCH+DOGE+XRP,0.45,3,96.6,7.63,1.81,3.84,378,45.0,6.77,1.46
rr28,BCH+HBAR+LTC,0.55,2,96.6,7.82,1.77,4.0,326,72.0,6.91,1.61
default,APT+BCH+ENS,0.45,2,96.6,6.59,1.93,4.18,344,69.8,6.56,1.84
default,APT+ETH+TON,0.45,3,96.6,6.58,1.99,4.35,331,58.0,7.23,1.72
perpair,DOGE+LTC+XRP,0.5,2,96.5,6.09,1.76,3.64,330,50.3,6.31,1.51
rr28,ADA+BCH+LTC,0.5,2,96.5,5.47,1.89,4.4,330,63.8,6.39,1.64
rr28,BCH+DOGE+XRP,0.55,3,96.5,7.51,1.77,3.8,328,61.5,7.4,1.67
rr28,APT+BCH+SNX,0.5,2,96.5,6.34,1.98,4.29,315,90.1,7.48,1.82
rr28,APT+BNB+ENS,0.45,2,96.4,6.01,1.85,4.17,368,43.5,7.04,1.53
rr28,BCH+LTC+SNX,0.45,2,96.3,6.07,2.04,4.76,330,60.6,6.56,1.66
thr06,APT+ETH+SNX,0.45,2,96.3,7.51,1.85,4.12,361,61.8,6.91,1.56
perpair,APT+BCH+ENS,0.45,3,96.3,6.8,1.90,4.1,348,65.7,7.98,1.72
rr28,APT+BNB+DOGE,0.5,2,96.3,6.0,1.80,3.97,347,55.6,6.3,1.61
default,APT+BCH+BNB,0.55,3,96.3,7.94,1.74,3.61,334,79.0,6.86,1.76
rr28,ETH+LTC+WLD,0.45,3,96.2,5.35,1.96,4.49,353,27.8,7.82,1.35
default,APT+BCH+ETH,0.5,2,96.2,5.63,2.00,4.17,306,77.5,6.72,1.91
default,APT+BCH+ENS,0.45,3,96.2,7.09,1.88,4.05,355,70.1,6.94,1.80
thr06,DOGE+SNX+TON,0.45,3,96.1,7.25,1.74,3.97,398,60.3,7.07,1.50
rr28,ADA+APT+ETH,0.5,2,96.0,5.53,1.95,4.1,316,65.2,7.25,1.69
rr28,APT+ETH+SNX,0.45,3,95.9,6.09,2.04,4.46,331,63.3,6.91,1.67
default,APT+BNB+ENS,0.5,2,95.8,7.11,1.71,3.61,358,60.6,7.95,1.62
thr06,BCH+ETH+LTC,0.45,2,95.8,7.21,1.91,4.02,361,45.7,5.64,1.50
perpair,ADA+ETH+TON,0.45,2,95.7,6.73,1.92,4.3,330,52.8,7.04,1.58
perpair,1000PEPE+DOGE+TON,0.45,3,95.7,5.04,1.81,3.91,379,47.1,7.89,1.51
perpair,APT+BNB+DOGE,0.45,3,95.7,5.4,1.84,3.86,356,48.5,7.45,1.55
default,APT+ETH+TON,0.45,2,95.7,6.58,2.06,4.39,312,61.8,7.23,1.82
thr06,APT+BCH+TON,0.45,3,95.6,6.66,1.83,4.17,383,69.8,7.38,1.69
perpair,BCH+TON+VET,0.5,2,95.6,7.09,1.87,4.06,349,58.9,7.06,1.63
rr28,ETH+SNX+TON,0.45,3,95.6,6.66,2.03,4.55,329,50.4,6.28,1.60
rr28,APT+BCH+LTC,0.45,2,95.5,4.57,2.01,4.68,335,62.0,7.62,1.73
rr28,APT+DOGE+ETH,0.45,3,95.5,5.71,1.97,4.17,340,50.0,7.51,1.64
rr28,APT+BCH+DOGE,0.45,2,95.5,5.07,2.03,4.6,328,63.3,5.52,1.80
perpair,ADA+BCH+LTC,0.55,2,95.4,7.62,1.84,3.93,312,74.1,7.5,1.62
rr28,APT+ETH+XRP,0.5,3,95.4,7.18,1.87,4.03,330,51.4,7.33,1.60
perpair,DOGE+ENS+TON,0.45,2,95.4,7.58,1.85,4.07,341,41.9,7.81,1.49
thr06,APT+ETH+TON,0.45,2,95.2,7.28,1.86,4.22,361,63.9,7.48,1.69
perpair,ETH+TON+VET,0.45,2,95.2,5.04,1.93,4.18,345,48.0,7.23,1.59
rr28,ETH+HBAR+LTC,0.55,2,95.2,7.53,1.78,4.01,324,47.6,6.72,1.45
thr06,DOGE+TON+XRP,0.45,3,95.2,7.05,1.72,3.79,395,36.6,7.9,1.38
perpair,BNB+ETH+VET,0.45,2,95.2,6.15,1.90,4.07,339,42.3,7.62,1.54
perpair,BCH+TON+WLD,0.45,2,95.1,6.53,1.93,4.34,353,52.4,6.3,1.60
perpair,APT+BNB+XRP,0.45,2,95.1,5.42,1.91,4.16,318,49.0,6.82,1.64
default,APT+SNX+TON,0.45,2,95.1,6.23,1.99,4.49,321,71.1,7.99,1.71
rr28,APT+DOGE+XRP,0.5,3,95.1,7.42,1.79,3.84,349,55.6,6.99,1.62
perpair,1000PEPE+ADA+APT,0.5,2,95.1,6.3,1.84,3.85,338,78.0,7.9,1.69
rr28,APT+ETH+XRP,0.5,2,95.0,6.62,1.90,4.12,321,50.9,7.2,1.63
rr28,BCH+DOGE+XRP,0.55,2,95.0,7.51,1.78,3.79,323,60.5,6.9,1.68
perpair,BCH+TON+VET,0.45,3,95.0,6.92,1.92,4.28,366,53.5,6.4,1.62
rr28,DOGE+ETH+HBAR,0.55,3,94.9,7.14,1.75,3.89,329,52.5,7.74,1.50
default,BCH+ETH+SNX,0.45,3,94.9,5.07,2.09,4.36,307,58.5,7.83,1.66
rr28,BCH+DOGE+LTC,0.45,2,94.9,5.0,1.99,4.54,333,47.1,7.23,1.60
rr28,ETH+LTC+XRP,0.5,2,94.9,6.58,1.84,4.09,331,32.1,7.27,1.40
rr28,ETH+TON+XRP,0.5,2,94.9,7.37,1.91,4.08,318,41.4,6.81,1.58
perpair,1000PEPE+BNB+TON,0.45,3,94.8,5.71,1.89,4.08,338,41.4,7.54,1.52
perpair,BCH+ETH+LTC,0.45,2,94.7,6.52,2.01,4.21,316,60.5,4.71,1.69
default,BCH+SNX+TON,0.45,3,94.7,6.73,2.02,4.26,321,61.3,7.13,1.68
thr06,APT+ETH+LTC,0.45,3,94.7,7.08,1.77,3.83,399,48.7,7.79,1.47
perpair,1000PEPE+ADA+ETH,0.45,2,94.7,5.95,1.90,3.97,337,64.5,6.82,1.66
thr06,ETH+TON+VET,0.45,3,94.6,5.58,1.76,3.96,407,48.7,7.12,1.50
rr28,HBAR+LTC+TON,0.5,3,94.6,7.49,1.78,3.95,354,46.4,7.46,1.45
perpair,DOGE+LTC+XRP,0.5,3,94.6,7.31,1.73,3.43,346,49.6,6.31,1.48
thr06,APT+SNX+TON,0.45,3,94.5,6.94,1.75,4.0,395,71.8,6.69,1.58
rr28,DOGE+ETH+TON,0.45,3,94.4,4.96,1.97,4.36,338,38.1,6.69,1.56
rr28,ETH+SNX+TON,0.45,2,94.4,6.66,2.07,4.63,318,51.4,7.17,1.62
default,BNB+LTC+TON,0.45,3,94.4,7.53,1.82,3.91,360,33.6,7.95,1.40
perpair,ADA+DOGE+ETH,0.45,2,94.4,7.16,1.83,3.8,343,50.4,7.84,1.52
rr28,BCH+TON+VET,0.5,3,94.3,7.08,1.84,4.09,355,60.3,6.02,1.69
default,LTC+TON+XRP,0.45,2,94.2,6.1,1.89,4.27,336,33.8,6.35,1.44
rr28,BCH+ETH+LTC,0.45,3,94.2,4.7,2.02,4.66,328,46.2,5.84,1.60
rr28,ETH+TON+XRP,0.5,3,94.2,7.37,1.86,4.03,328,38.0,6.81,1.51
thr06,DOGE+SNX+TON,0.45,2,94.2,7.17,1.78,4.12,376,61.5,7.07,1.52
default,APT+ETH+LTC,0.45,2,94.2,5.36,1.97,4.2,328,51.5,6.26,1.60
default,ADA+DOGE+LTC,0.5,3,94.1,7.46,1.71,3.49,361,52.8,7.82,1.47
default,APT+BCH+BNB,0.55,2,94.1,7.94,1.76,3.7,323,78.7,6.86,1.79
rr28,APT+SNX+TON,0.45,2,94.1,6.8,2.01,4.64,328,65.9,6.73,1.69
rr28,ADA+APT+DOGE,0.5,2,94.1,5.5,1.86,3.94,328,68.7,7.63,1.68
thr06,1000PEPE+SNX+TON,0.45,2,94.0,6.4,1.83,4.18,367,66.1,6.15,1.58
rr28,ETH+LTC+SNX,0.45,2,94.0,5.4,2.02,4.64,328,45.2,6.1,1.52
rr28,DOGE+TON+XRP,0.5,3,94.0,7.48,1.78,3.86,347,41.9,5.82,1.53
rr28,DOGE+ENS+HBAR,0.45,2,94.0,7.98,1.86,4.08,352,38.1,7.03,1.43
rr28,BCH+ETH+LTC,0.45,2,93.9,4.7,2.05,4.74,322,45.8,5.48,1.61
perpair,APT+BCH+BNB,0.45,2,93.9,6.08,2.00,4.41,323,59.2,6.85,1.72
perpair,BCH+HBAR+TON,0.5,3,93.9,7.34,1.83,3.89,334,62.7,6.99,1.58
perpair,ADA+APT+LTC,0.55,3,93.9,7.24,1.76,3.63,331,82.0,7.91,1.65
thr06,1000PEPE+DOGE+TON,0.45,2,93.9,5.48,1.82,3.99,371,49.7,7.69,1.52
