label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_win,oos_trades,is_annual,is_dd,is_pf
rr20,1000PEPE+ADA+ETH+SNX,0.5,2,77.6,7.13,1.699,3.99,52.1,405,76.7,6.55,1.681
rr20,1000PEPE+ADA+ETH+SNX,0.5,3,94.7,7.13,1.737,4.13,52.9,448,81.1,6.13,1.662
rr20,1000PEPE+ADA+ETH+SNX,0.5,4,96.5,7.13,1.736,4.08,52.9,456,81.7,6.79,1.644
rr20,1000PEPE+ADA+ETH+TON,0.5,2,95.8,5.59,1.805,4.41,54.1,425,56.5,7.08,1.564
rr20,1000PEPE+ADA+ETH+TON,0.5,3,107.4,5.35,1.799,4.38,54.1,464,58.0,7.6,1.540
rr20,1000PEPE+ADA+ETH+TON,0.5,4,112.7,5.35,1.819,4.41,54.3,473,59.2,7.6,1.550
rr20,1000PEPE+ADA+ETH+VET,0.5,2,88.5,5.9,1.762,4.19,52.9,433,57.5,6.93,1.557
rr20,1000PEPE+ADA+ETH+VET,0.5,3,102.1,7.11,1.753,4.15,53.0,481,66.4,6.61,1.580
rr20,1000PEPE+ADA+ETH+VET,0.5,4,101.0,7.12,1.724,4.0,52.6,492,66.4,7.14,1.572
rr20,1000PEPE+ADA+ETH+WLD,0.5,2,83.3,7.09,1.734,4.1,52.4,420,54.3,7.83,1.552
rr20,1000PEPE+ADA+ETH+WLD,0.5,3,91.9,6.28,1.693,4.05,52.2,460,55.7,7.83,1.518
rr20,1000PEPE+ADA+ETH+WLD,0.5,4,94.0,6.28,1.690,4.03,52.1,470,56.5,7.86,1.514
rr20,1000PEPE+ADA+SNX+TON,0.5,2,96.2,6.13,1.774,4.39,53.3,437,73.2,7.12,1.587
rr20,1000PEPE+ADA+SNX+TON,0.5,3,112.9,6.75,1.797,4.57,53.9,473,77.8,6.82,1.593
rr20,1000PEPE+ADA+SNX+TON,0.5,4,115.2,6.75,1.805,4.55,54.0,478,77.5,6.82,1.585
rr20,1000PEPE+ADA+SNX+VET,0.5,2,92.4,6.91,1.743,4.14,52.6,445,77.0,7.39,1.614
rr20,1000PEPE+ADA+SNX+WLD,0.5,4,96.2,7.54,1.675,4.09,51.8,475,74.5,7.81,1.555
rr20,1000PEPE+APT+BCH+DOGE,0.5,3,107.4,6.31,1.790,4.43,54.1,458,72.3,7.48,1.664
rr20,1000PEPE+APT+BCH+DOGE,0.5,4,110.2,6.82,1.796,4.39,54.2,465,71.8,7.48,1.655
rr20,1000PEPE+APT+BCH+ETH,0.5,2,101.2,5.1,1.894,4.67,55.0,416,73.4,6.26,1.721
rr20,1000PEPE+APT+BCH+ETH,0.6,2,130.7,6.1,1.894,4.67,55.0,416,93.1,7.47,1.714
rr20,1000PEPE+APT+BCH+ETH,0.5,3,104.2,5.65,1.834,4.49,54.5,444,78.3,6.41,1.743
rr20,1000PEPE+APT+BCH+ETH,0.6,3,134.8,6.75,1.832,4.49,54.5,444,99.6,7.65,1.741
rr20,1000PEPE+APT+BCH+ETH,0.5,4,105.1,5.65,1.830,4.47,54.5,448,73.5,6.41,1.683
